node_u,node_v,weight,directed_edge_count
358917318,420965027,12,1
358917318,453068084,2,2
358917318,480217156,48,2
358917318,496817075,26,2
358917318,510375115,27,2
358917318,5349565,6,1
358917318,927442,3,1
358917318,9342529,3,1
358917318,99919302,1,1
372536760,606433492,1,1
372536760,90541149,1,1
3786237,47973088,16,1
3786237,507775,53,1
3788366,49670957,1,1
385634291,6838921,316,2
388946490,5349565,568,2
388946490,551374215,1,1
388946490,56128733,2,1
388946490,581145740,1,1
388946490,60246359,2,1
388946490,6934395,114,1
388946490,927442,5,1
393235957,453068084,1,1
396867188,7083240,1,1
41349039,80087836,57,2
41986369,453068084,1,1
41986369,480217156,1,1
41986369,48833910,312,2
41986369,6838921,39,1
41986369,6934395,1,1
432844875,660776503,1,1
4407129,60246359,2,1
44781140,644742603,28,1
44781140,927442,74,1
449924556,79317191,1,1
453068084,480217156,2,1
453068084,48833910,3,1
453068084,507775,2,1
453068084,5349565,1,1
453068084,56128733,1,1
453068084,6934395,1,1
453068084,927442,40,1
453068084,9342529,1,1
453191009,80087836,2,1
456549280,574588439,14,2
456549280,60246359,3,2
456549280,90541149,1,1
462329984,6934395,447,2
478288303,49412556,1,1
47973088,77385607,1,1
480217156,48833910,1,1
480217156,6838921,14,1
480217156,6934395,5,1
48833910,6934395,10,1
48833910,7561862,1,1
49401416,6934395,1,1
49401416,722854801,1,1
49412556,507775,4,1
49412556,607441698,1,1
49412556,660776503,4,1
49670957,507775,1,1
496817075,510375115,3,2
49876476,927442,6,1
50229487,507775,1,1
507775,5349565,1,1
507775,55072677,1,1
507775,6838921,1,1
507775,77385607,3,1
507775,9342529,582,1
507775,99919302,1,1
50874442,927442,1835,1
528766495,6934395,1,1
5349565,9342529,5,1
54005538,60246359,1,1
54005538,911980,1,1
542714,55072677,1,1
543276238,67904342,1,1
546206616,60246359,2,1
55072677,95817032,1,1
551374215,60246359,1,1
574588439,60246359,4,2
581145740,60246359,36,2
60246359,606433492,26,2
60246359,6358188,1,1
60246359,678214856,105,2
60246359,6934395,3,1
60246359,927442,1,1
60246359,99919302,1,1
61153677,6838921,4,1
613723,791522,1,1
644742603,927442,1,1
661663226,75425073,1,1
6650539,84458512,1,1
678214856,99919302,1,1
6838921,6934395,1,1
6838921,94593596,1,1
6934395,79317191,1,1
714074,75425073,1,1
84240850,927442,39,1
927442,9342529,2,1
927442,95817032,2,1
