project_id,community_id,community_size
296977951,5,101
29759715,3,153
298328,0,186
29849956,10,28
298565987,13,17
298763623,2,165
2988730,0,186
298920362,0,186
2992074,2,165
299220196,2,165
29923817,0,186
299510783,5,101
30062547,5,101
30072532,0,186
300752838,10,28
301573344,0,186
301727732,5,101
301742,11,27
302322,7,49
302670797,6,86
302827809,2,165
3037907,0,186
3038937,4,134
30405191,2,165
30449481,10,28
304537599,1,169
305438763,3,153
305468604,2,165
305513242,3,153
3060959,14,13
30618733,4,134
30667298,2,165
30676648,0,186
306769011,13,17
307213173,3,153
30753733,3,153
308027791,2,165
30828052,1,169
30945132,4,134
309512982,0,186
31006158,7,49
310302823,0,186
310611,0,186
31180321,6,86
31197250,6,86
31261793,0,186
31288958,1,169
31315021,8,35
31315121,5,101
31339163,4,134
315538318,1,169
315885410,2,165
31629751,6,86
316556151,0,186
316690542,3,153
3168225,1,169
31728565,2,165
31792824,9,28
317940258,11,27
31830551,2,165
31933589,4,134
31976266,0,186
31986253,5,101
32097112,7,49
3211618,5,101
32184830,7,49
321853986,4,134
32193707,2,165
32238354,10,28
32246828,0,186
323231688,2,165
323389945,3,153
32363061,5,101
323830219,7,49
324754415,5,101
32538871,7,49
326269244,2,165
32741886,6,86
32873313,3,153
329445418,2,165
330600696,2,165
330622921,3,153
3320710,2,165
33258973,12,20
33352201,1,169
333867901,7,49
334164334,3,153
334274271,7,49
33440467,4,134
335164964,2,165
335342,7,49
336739753,2,165
3370128,0,186
33745913,0,186
33753632,4,134
33816473,0,186
33832372,5,101
338640454,5,101
33880218,4,134
33880730,8,35
33884891,4,134
339993112,1,169
34007506,0,186
3407114,0,186
341374920,7,49
34139230,2,165
341631350,7,49
3432266,0,186
343576900,3,153
343853530,4,134
34414315,4,134
344711168,1,169
34533675,0,186
34685800,0,186
346976717,15,9
347277349,2,165
348845699,4,134
349627612,3,153
35144191,4,134
351806852,2,165
35197979,4,134
354090893,7,49
35440404,4,134
356069432,4,134
35697158,0,186
35697461,0,186
35697550,10,28
35698342,0,186
35699223,0,186
35700771,4,134
357284448,2,165
357707809,5,101
35823699,1,169
358917250,2,165
358917318,2,165
35894511,5,101
359952601,11,27
363150,0,186
363245888,5,101
36439741,3,153
36502,11,27
365244061,9,28
36653430,1,169
367261349,2,165
367429065,1,169
3678731,4,134
36817457,6,86
36891867,6,86
36960321,2,165
3698588,6,86
37171746,1,169
372172254,2,165
372536760,3,153
372630017,3,153
37285717,0,186
37290678,2,165
37326770,1,169
373315216,7,49
37346186,3,153
374927,8,35
375736511,4,134
376951839,1,169
