project_id,community_id,community_size
35100117,13,134
351019317,29,23
351130822,2,788
35120039,2,788
351353365,2,788
35144191,3,652
351503108,11,161
351806852,10,170
351978195,1,819
35197979,8,215
35228936,9,185
352436122,10,170
352804165,7,232
352933986,5,263
353335347,1,819
35339348,10,170
353523898,0,852
3535411,10,170
353791258,31,14
353886007,3,652
354080507,6,234
354090893,6,234
354094562,6,234
354123935,6,234
354125784,6,234
354126484,6,234
354129853,6,234
354136133,6,234
354191236,2,788
35437397,4,529
354375556,10,170
35440404,8,215
3544424,14,132
354899090,6,234
355015152,6,234
355027797,6,234
355029829,6,234
355030559,6,234
355032495,6,234
355033263,6,234
355035157,6,234
355197173,0,852
355253165,2,788
35529429,2,788
355307023,3,652
355636760,2,788
35566048,1,819
356003512,24,36
356069432,3,652
356362815,1,819
356756,22,40
35697158,3,652
35697461,4,529
35697550,13,134
35698342,4,529
35698408,4,529
35699223,4,529
35699660,4,529
35699831,3,652
35700771,3,652
35701030,4,529
357107303,2,788
35718616,3,652
35726310,8,215
357284448,1,819
357287236,24,36
357290698,6,234
357378270,6,234
357462016,0,852
357494593,11,161
357510578,6,234
357524436,15,116
357558544,9,185
357684878,4,529
357707809,1,819
357720135,6,234
357723952,6,234
357728969,0,852
357794679,6,234
357936578,16,85
358067277,10,170
35810174,25,32
358201880,0,852
35823699,2,788
35852087,27,25
358735095,6,234
35890081,13,134
358917250,1,819
358917318,1,819
358925208,11,161
35894511,1,819
35897457,4,529
35900688,3,652
359168968,2,788
359199097,1,819
359341902,1,819
359494116,20,66
35958325,4,529
359607103,0,852
359757315,4,529
359757377,20,66
359780596,1,819
359812205,16,85
359952601,11,161
359965651,6,234
360264486,21,46
3604157,4,529
360436551,17,84
360462210,3,652
3604630,7,232
36046479,1,819
360521076,10,170
360639607,5,263
360734598,0,852
360735059,2,788
360961757,19,66
360998824,2,788
361383146,9,185
36161366,4,529
361767999,2,788
361877033,12,148
362068489,3,652
362220956,6,234
362276910,6,234
362404999,3,652
362529558,2,788
3626075,4,529
36267369,28,24
362712307,3,652
363150,3,652
363191223,12,148
363245888,1,819
363341351,6,234
36377339,0,852
363801746,1,819
363917569,4,529
363920445,2,788
364003912,6,234
36404681,13,134
364189600,20,66
364195857,6,234
36439741,15,116
36444640,2,788
364534653,6,234
364602128,1,819
364712598,6,234
364741693,2,788
364992209,13,134
365005377,0,852
36502,11,161
365099290,20,66
365244061,5,263
365367675,3,652
36552873,2,788
3655872,14,132
365818754,6,234
366186609,6,234
366300218,2,788
3664596,11,161
36653430,2,788
36654353,0,852
366767099,6,234
366922019,20,66
367032142,1,819
367077563,5,263
367261349,1,819
367361729,2,788
367429065,2,788
36747447,1,819
367668551,1,819
36778364,0,852
367869181,0,852
3678731,8,215
368135119,20,66
36817457,19,66
368257515,0,852
368282919,11,161
36835663,0,852
368395082,6,234
368565094,7,232
368626599,1,819
368683828,2,788
36883823,8,215
36891867,14,132
3689718,13,134
369486739,8,215
369588765,3,652
36960321,14,132
369656460,1,819
369765180,11,161
3698588,7,232
370007792,14,132
370488914,12,148
370644553,2,788
370668507,10,170
371068214,2,788
371468,5,263
371660676,1,819
37171746,2,788
37198116,13,134
372172254,1,819
372511564,1,819
372536503,0,852
372536760,0,852
372560122,19,66
372609963,0,852
372630017,0,852
372675120,19,66
37282287,19,66
37285717,3,652
37290652,1,819
37290678,1,819
37308208,0,852
373163805,10,170
37326770,2,788
373307571,6,234
373315216,6,234
37334619,14,132
37346186,0,852
373697868,6,234
373800628,3,652
373940169,4,529
37440338,7,232
374436184,9,185
37445421,0,852
374544800,0,852
374765810,0,852
374846113,7,232
374876908,6,234
37489525,12,148
374927,12,148
374992541,5,263
375027048,9,185
375032116,11,161
37510432,2,788
375265367,2,788
375499480,2,788
375543829,6,234
37560288,2,788
375724253,1,819
375736511,3,652
375842397,1,819
375962860,3,652
376093508,6,234
376172960,0,852
37631091,13,134
376951839,2,788
377755619,2,788
377881607,3,652
37796696,13,134
378182560,24,36
3786237,4,529
378817967,2,788
3788366,33,11
379008980,5,263
37900915,27,25
379174547,12,148
379201052,9,185
379865325,7,232
379939977,0,852
379969359,26,30
380305028,12,148
380944275,1,819
380971085,4,529
3811518,16,85
381428400,18,71
381455151,10,170
381500711,2,788
38153503,6,234
381666251,13,134
381967785,22,40
38279457,3,652
38279790,3,652
382800841,9,185
383020697,1,819
38307428,1,819
383185912,2,788
38329989,11,161
383428435,2,788
383482440,0,852
383530539,4,529
383707539,22,40
38373338,0,852
383855027,6,234
383875967,6,234
384131047,4,529
384132842,5,263
384191524,10,170
384403174,1,819
38451868,0,852
38488726,4,529
38505249,27,25
385183546,2,788
38525117,12,148
385356389,0,852
385426741,10,170
385554672,3,652
385634291,2,788
385658067,0,852
385693693,7,232
385694529,7,232
38581626,0,852
386053978,3,652
386095335,6,234
38617,5,263
386788697,2,788
387065774,4,529
387157909,1,819
38744670,11,161
387486196,4,529
387486323,4,529
387547755,0,852
387598861,0,852
3877327,2,788
387876243,6,234
38800748,2,788
388015125,6,234
388225543,12,148
388268970,0,852
38829639,3,652
388840211,2,788
388880322,6,234
388881093,1,819
388883534,6,234
388884666,6,234
388885253,6,234
388936696,6,234
388946490,8,215
389256017,1,819
389390208,19,66
3894929,4,529
38973038,5,263
389745284,12,148
390240657,32,12
390324364,13,134
39038086,0,852
390505378,3,652
390536799,5,263
39062978,4,529
39063076,7,232
39107211,10,170
39111193,8,215
3911430,0,852
391153869,3,652
39144867,3,652
39176169,1,819
392292114,17,84
39265047,10,170
392714630,3,652
392728007,2,788
39283837,3,652
39285768,0,852
392918204,6,234
393094567,2,788
393159516,10,170
393235957,1,819
393288578,2,788
393499763,14,132
393562005,0,852
39398382,2,788
394028369,7,232
39443258,19,66
394498711,11,161
394523815,3,652
39464018,3,652
39468142,18,71
394754122,7,232
394789638,0,852
394929332,10,170
39519916,2,788
395260989,2,788
39527318,1,819
3954884,3,652
3955647,4,529
395696124,1,819
39573021,13,134
395733062,0,852
395893003,7,232
39592840,30,23
39595126,9,185
396684289,0,852
396856161,2,788
396867188,4,529
39720886,25,32
39759972,12,148
397776424,10,170
397826175,2,788
397996130,9,185
398105002,5,263
398164186,2,788
39816691,7,232
398251321,0,852
398329217,9,185
39840932,17,84
39842065,12,148
398732697,0,852
39874513,2,788
39907649,2,788
399244124,11,161
39945883,4,529
399925381,2,788
400147654,16,85
40029196,22,40
400492523,1,819
400786610,4,529
401531966,0,852
4015965,19,66
401599965,0,852
401621478,3,652
401850253,1,819
40200644,3,652
402021456,3,652
40210247,11,161
402121073,4,529
40219422,2,788
40276274,13,134
402945349,7,232
403020531,15,116
40306512,0,852
403248238,1,819
403331298,14,132
403351442,1,819
403449752,10,170
40345658,1,819
40355094,7,232
403691920,15,116
403744638,18,71
403880807,2,788
40395126,24,36
404086694,3,652
404143034,14,132
404144554,6,234
404194456,8,215
4044891,26,30
404607321,2,788
40518025,24,36
40539602,0,852
405898839,3,652
405937971,18,71
40620773,7,232
40667593,26,30
406681532,3,652
4067434,12,148
4069172,10,170
406919684,8,215
406999479,2,788
407142976,0,852
407242578,1,819
407294153,2,788
40736127,12,148
40741114,0,852
407468498,11,161
40781628,25,32
407831273,0,852
408387870,3,652
4084908,26,30
408582115,6,234
408656417,7,232
408725643,5,263
408822193,1,819
408996775,7,232
409279159,1,819
409296208,8,215
409307855,1,819
409370186,20,66
409388445,2,788
409392206,8,215
409505495,4,529
409565500,16,85
409808684,15,116
409814339,11,161
409876755,1,819
410009823,9,185
410139456,11,161
410442633,0,852
41058054,7,232
410716689,3,652
410766005,1,819
411125610,0,852
411261949,0,852
411318591,1,819
411442387,10,170
411502985,20,66
411527414,17,84
41175020,0,852
41179827,29,23
411979983,19,66
412102330,2,788
412132838,10,170
412240914,1,819
412264930,0,852
412357715,0,852
412395318,1,819
41242592,5,263
412586952,0,852
4128353,8,215
413071565,0,852
41317079,11,161
413389267,24,36
41349039,14,132
413873228,15,116
414013547,6,234
41420773,3,652
414314563,2,788
414369883,4,529
414399712,11,161
414411552,3,652
414487414,4,529
414515727,16,85
414613150,0,852
414633085,3,652
41473746,16,85
414909619,5,263
415117331,9,185
415174355,4,529
415573763,20,66
415741642,0,852
415771369,2,788
415776566,1,819
415895268,0,852
416051323,8,215
416091141,8,215
416141899,2,788
416144775,0,852
416231913,2,788
416232706,20,66
416232973,20,66
416307049,4,529
416315721,0,852
41632796,2,788
416356262,25,32
4164482,7,232
41659639,1,819
41681600,1,819
417011402,2,788
417132124,6,234
417630672,0,852
417633116,0,852
41767943,0,852
417731747,9,185
41824974,11,161
418276612,9,185
418433841,1,819
41881575,2,788
418902234,1,819
419088860,16,85
4192593,7,232
41943138,5,263
41952293,8,215
419571031,11,161
41964498,2,788
41969076,3,652
419705751,5,263
41986369,2,788
41986662,2,788
420026145,6,234
420067157,4,529
420110427,8,215
420582125,1,819
420777439,1,819
42078666,4,529
420838357,23,40
420854474,23,40
420965027,1,819
421101922,2,788
42149336,4,529
42155092,12,148
421609857,13,134
421704236,6,234
421774239,5,263
422205507,23,40
422359641,2,788
42237038,1,819
422379561,7,232
42244830,12,148
422455952,2,788
422821402,2,788
4228808,4,529
42300713,3,652
42304749,9,185
423543171,8,215
423691236,12,148
423712737,15,116
423828713,11,161
423907006,2,788
423942690,3,652
423955808,7,232
42406144,24,36
42408804,2,788
424470669,23,40
42479602,1,819
424898549,18,71
42494717,3,652
4253330,3,652
425358390,8,215
4254325,5,263
4254334,5,263
4254338,5,263
425833530,5,263
42610470,7,232
42652543,0,852
426543151,0,852
426559977,6,234
426669980,0,852
426758144,3,652
42679047,4,529
42680391,0,852
4268140,2,788
42685794,1,819
426969608,7,232
426986055,0,852
427247481,3,652
42728217,0,852
427493431,0,852
42763345,11,161
427714336,34,9
427717011,15,116
428231308,0,852
428744086,2,788
42875585,3,652
428931480,23,40
42895929,0,852
429017214,18,71
429043408,5,263
429115636,1,819
429180442,6,234
429236908,24,36
429258530,3,652
429337233,4,529
429630067,7,232
429687384,3,652
4298283,3,652
430286090,6,234
430398283,7,232
430633055,13,134
430756925,0,852
4307702,0,852
431078731,3,652
43111018,2,788
431214669,9,185
43135716,0,852
431388952,0,852
431665427,18,71
431747333,4,529
431885704,0,852
43192623,1,819
43225113,2,788
432838863,1,819
