seed_left,seed_right,ari
20260731,20260732,0.8587532253239747
20260731,20260733,0.8640829947885786
20260731,20260734,0.8806079823196218
20260731,20260735,0.8881652751695986
20260731,20260736,0.8889803192746325
20260731,20260737,0.8706405595048984
20260731,20260738,0.8232948205312942
20260731,20260739,0.877665045519573
20260731,20260740,0.9177938383779576
20260731,20260741,0.9397445829740441
20260731,20260742,0.8780116799309677
20260731,20260743,0.9070316299850905
20260731,20260744,0.8447464682327173
20260731,20260745,0.8730946147416552
20260731,20260746,0.8229235693537059
20260731,20260747,0.766537670703484
20260731,20260748,0.8397833341049339
20260731,20260749,0.8737851262242146
20260731,20260750,0.7491365325189081
20260731,20260751,0.8993855698219266
20260731,20260752,0.8530172898493481
20260731,20260753,0.8701224243597037
20260731,20260754,0.9838670962749885
20260731,20260755,0.9553240954722773
20260731,20260756,0.8652202390403653
20260731,20260757,0.8206312898550601
20260731,20260758,0.8895946591914415
20260731,20260759,0.9147975299764123
20260731,20260760,0.8479178744834044
20260731,20260761,0.8182869889120492
20260731,20260762,0.8696761390268913
20260731,20260763,0.9402356876900858
20260731,20260764,0.8597234220903831
20260731,20260765,0.8289536546581214
20260731,20260766,0.8499524422771273
20260731,20260767,0.8454439981972205
20260731,20260768,0.8913678075531236
20260731,20260769,0.867673715048186
20260731,20260770,0.9406945260294217
20260731,20260771,0.8504089819839068
20260731,20260772,0.8428771915528539
20260731,20260773,0.881511414173069
20260731,20260774,0.8569994527622266
20260731,20260775,0.8762751614190436
20260731,20260776,0.834412320463627
20260731,20260777,0.8791027187500157
20260731,20260778,0.9637526111093548
20260731,20260779,0.8393059031382173
20260731,20260780,0.8960196857948666
20260732,20260733,0.9560331326347095
20260732,20260734,0.9026794292303978
20260732,20260735,0.9070509735496765
20260732,20260736,0.9031924481599177
20260732,20260737,0.8995375268248956
20260732,20260738,0.7605764987384912
20260732,20260739,0.7878483973535755
20260732,20260740,0.930497847774059
20260732,20260741,0.8431759157202205
20260732,20260742,0.9049741839288713
20260732,20260743,0.9448109835402131
20260732,20260744,0.9530749660747084
20260732,20260745,0.9337292937960668
20260732,20260746,0.8683872557843665
20260732,20260747,0.7977821336026705
20260732,20260748,0.7460740717157192
20260732,20260749,0.8885076475926895
20260732,20260750,0.7972427572310482
20260732,20260751,0.9090664663076135
20260732,20260752,0.7494336867073355
20260732,20260753,0.9367208988657767
20260732,20260754,0.8617847617934904
20260732,20260755,0.8729096219703427
20260732,20260756,0.7783218255007449
20260732,20260757,0.7667146997951114
20260732,20260758,0.9131471235835718
20260732,20260759,0.9297178970241899
20260732,20260760,0.9357468777099391
20260732,20260761,0.7525622147484335
20260732,20260762,0.890902835257156
20260732,20260763,0.8738741618651799
20260732,20260764,0.9056306428925791
20260732,20260765,0.8149139157686401
20260732,20260766,0.9719000850847053
20260732,20260767,0.7525469054485985
20260732,20260768,0.7976577726318154
20260732,20260769,0.9340684267469834
20260732,20260770,0.8869057679826631
20260732,20260771,0.912127985120328
20260732,20260772,0.9459257496362949
20260732,20260773,0.9561657262838134
20260732,20260774,0.9643354729082344
20260732,20260775,0.814202243992463
20260732,20260776,0.7382184289571024
20260732,20260777,0.8901657841906524
20260732,20260778,0.8796469381361568
20260732,20260779,0.7727161552644505
20260732,20260780,0.8971598397475524
20260733,20260734,0.884249820179251
20260733,20260735,0.8951918899719787
20260733,20260736,0.8970515311102816
20260733,20260737,0.916940455466516
20260733,20260738,0.7531694725385555
20260733,20260739,0.7881141645086004
20260733,20260740,0.9180263863276518
20260733,20260741,0.8426040538965841
20260733,20260742,0.8811355875936466
20260733,20260743,0.9150805178311215
20260733,20260744,0.9381253609372101
20260733,20260745,0.9213506178598654
20260733,20260746,0.8539276795823852
20260733,20260747,0.7759993130214954
20260733,20260748,0.7356798887224708
20260733,20260749,0.8865283927383811
