seed,community_count,modularity,ari_to_canonical,is_canonical_seed
20260731,34,0.7973095950243088,1.0,True
20260732,34,0.796974273888235,0.8587532253239747,False
20260733,34,0.7975551207052298,0.8640829947885786,False
20260734,33,0.7972835817716787,0.8806079823196218,False
20260735,33,0.7972271329224732,0.8881652751695986,False
20260736,34,0.7972490709434582,0.8889803192746325,False
20260737,35,0.79757242586977,0.8706405595048984,False
20260738,33,0.7967172098408762,0.8232948205312942,False
20260739,35,0.7968394290950247,0.877665045519573,False
20260740,34,0.7973046463991132,0.9177938383779576,False
20260741,34,0.7971872185079893,0.9397445829740441,False
20260742,33,0.7971777204795186,0.8780116799309677,False
20260743,33,0.7971885496625272,0.9070316299850905,False
20260744,33,0.7973917104286488,0.8447464682327173,False
20260745,35,0.7972609212157943,0.8730946147416552,False
20260746,35,0.7967359584160038,0.8229235693537059,False
20260747,33,0.7966740792775947,0.766537670703484,False
20260748,33,0.7967158687829179,0.8397833341049339,False
20260749,34,0.7971994194962252,0.8737851262242146,False
20260750,35,0.7968411189763441,0.7491365325189081,False
20260751,35,0.7972916469670369,0.8993855698219266,False
20260752,36,0.7967609041991508,0.8530172898493481,False
20260753,35,0.7975370604956086,0.8701224243597037,False
20260754,32,0.7973000187017802,0.9838670962749885,False
20260755,36,0.7972805580396021,0.9553240954722773,False
20260756,35,0.7964862487991375,0.8652202390403653,False
20260757,34,0.7967681108042397,0.8206312898550601,False
20260758,34,0.7971007336989324,0.8895946591914415,False
20260759,34,0.7973419953610124,0.9147975299764123,False
20260760,34,0.7969140575134022,0.8479178744834044,False
20260761,35,0.7965776226054648,0.8182869889120492,False
20260762,34,0.7970936808042641,0.8696761390268913,False
20260763,37,0.7972465691890522,0.9402356876900858,False
20260764,34,0.7972360373938384,0.8597234220903831,False
20260765,34,0.7969859405324873,0.8289536546581214,False
20260766,36,0.7970428240433406,0.8499524422771273,False
20260767,35,0.7967380875736539,0.8454439981972205,False
20260768,32,0.7966959665370678,0.8913678075531236,False
20260769,32,0.7975159925756752,0.867673715048186,False
20260770,35,0.7974668950200152,0.9406945260294217,False
20260771,33,0.7974563186853341,0.8504089819839068,False
20260772,35,0.7971418833706954,0.8428771915528539,False
20260773,36,0.7975757352714571,0.881511414173069,False
20260774,35,0.7975703780134992,0.8569994527622266,False
20260775,34,0.7967194710873428,0.8762751614190436,False
20260776,36,0.7967700394046607,0.834412320463627,False
20260777,35,0.7972427969968917,0.8791027187500157,False
20260778,34,0.7972941203074404,0.9637526111093548,False
20260779,37,0.796795442611768,0.8393059031382173,False
20260780,36,0.797300077966753,0.8960196857948666,False
