project_id,repo_name,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share
94593596,etcd-io/bbolt,36,242,1,54,35,188,36,0.1023154156136876,0.2231404958677686
49876476,apache/shardingsphere,118,240,4,20,114,220,118,0.0183333333333333,0.0666666666666666
25780780,AlaSQL/alasql,27,240,0,0,27,240,27,0.2253125,0.4083333333333333
581145740,ByConity/ByConity,22,237,3,36,19,201,22,0.2538588901351279,0.4683544303797468
45732002,jnidzwetzki/bboxdb,16,236,0,0,16,236,16,0.1129704108014938,0.2245762711864407
206686299,rayokota/kareldb,17,216,0,0,17,216,17,0.0964934842249657,0.2222222222222222
49412556,quickwit-oss/tantivy,49,203,4,42,45,161,49,0.0880632871460117,0.1773399014778325
339993112,matrixorigin/matrixone,47,194,2,3,45,191,47,0.0475077053884578,0.0927835051546391
2524488,apache/accumulo,38,189,2,3,36,186,38,0.0697348898407099,0.1534391534391534
4604367,sirixdb/sirix,13,188,0,0,13,188,13,0.2567338162064282,0.3457446808510638
442441933,mabel-dev/opteryx,12,186,1,16,11,170,12,0.2825760203491732,0.4838709677419355
44781140,greenplum-db/gpdb,49,181,1,74,48,107,49,0.1842129361130612,0.4088397790055249
182849188,delta-io/delta,34,181,3,85,31,96,34,0.2291444095113092,0.4475138121546961
99919302,apache/doris,69,180,5,7,64,173,69,0.0566666666666666,0.1888888888888888
2649214,arangodb/arangodb,43,180,1,3,42,177,43,0.1233333333333333,0.2833333333333333
95817032,edgedb/edgedb,42,178,2,3,40,175,42,0.117030677944704,0.2584269662921348
206417,apache/couchdb,46,163,0,0,46,163,46,0.0476118785050246,0.0920245398773006
5844474,EventStore/EventStore,23,160,0,0,23,160,23,0.1332031249999999,0.24375
73235061,rayokota/hgraphdb,12,150,2,29,10,121,12,0.1240888888888888,0.1933333333333333
13124802,influxdata/influxdb,65,142,4,4,61,138,65,0.0647688950605038,0.204225352112676
542714,ravendb/ravendb,50,141,4,4,46,137,50,0.0359639857150042,0.0709219858156028
1917262,realm/realm-core,22,140,2,3,20,137,22,0.1257142857142857,0.2357142857142857
206444,apache/hive,50,136,4,8,46,128,50,0.0679065743944636,0.1764705882352941
660776503,paradedb/paradedb,83,135,6,9,77,126,83,0.0415363511659808,0.1703703703703703
678214856,timeplus-io/proton,30,135,5,107,25,28,30,0.5841975308641975,0.762962962962963
6934395,facebook/rocksdb,44,133,2,5,42,128,44,0.1299677765843179,0.3383458646616541
114187903,apple/foundationdb,26,132,1,1,25,131,26,0.2224517906336088,0.4318181818181818
34533675,apache/sedona,59,127,2,4,57,123,59,0.0396180792361584,0.1102362204724409
305513242,fluree/db,13,117,0,0,13,117,13,0.391190006574622,0.5897435897435898
298763623,kuzudb/kuzu,40,111,1,16,39,95,40,0.0651732813894976,0.1441441441441441
198466472,terminusdb/terminusdb,22,105,0,0,22,105,22,0.1085714285714285,0.219047619047619
510607652,pocketbase/pocketbase,54,103,1,1,53,102,54,0.0777641625035347,0.2524271844660194
125824259,xtdb/xtdb,40,99,3,3,37,96,40,0.0874400571370268,0.2323232323232323
1050944,infinispan/infinispan,46,97,2,2,44,95,46,0.0502710171112764,0.1649484536082474
19257422,questdb/questdb,40,97,3,5,37,92,40,0.0949091295568073,0.268041237113402
639434928,cfu288/SylvieJS,12,93,0,0,12,93,12,0.1252167880679847,0.1827956989247312
141376301,apache/incubator-hugegraph,26,88,4,12,22,76,26,0.0922004132231405,0.2159090909090909
79317191,typesense/typesense,46,85,1,1,45,84,46,0.0452595155709342,0.1529411764705882
607441698,lancedb/lancedb,24,85,1,1,23,84,24,0.470726643598616,0.6823529411764706
478288303,nuclia/nucliadb,11,85,0,0,11,85,11,0.7799307958477509,0.8823529411764706
679889516,fireproof-storage/fireproof,17,79,1,1,16,78,17,0.5622496394808525,0.7468354430379747
276293034,apache/age,27,75,3,6,24,69,27,0.1168,0.2933333333333333
454981666,streamnative/oxia,7,75,0,0,7,75,7,0.5029333333333335,0.68
19816070,MariaDB/server,29,74,1,4,28,70,29,0.0774287801314828,0.1756756756756756
84458512,RedisGraph/RedisGraph,13,74,2,2,11,72,13,0.5430971512052595,0.7297297297297297
30753733,percona/percona-server,7,70,2,20,5,50,7,0.4816326530612245,0.6428571428571429
606433492,chdb-io/chdb,38,67,6,20,32,47,38,0.070617063934061,0.208955223880597
23247808,rqlite/rqlite,30,66,1,1,29,65,30,0.0564738292011019,0.106060606060606
80087836,dgraph-io/badger,19,63,1,2,18,61,19,0.1010330057949105,0.2222222222222222
146459443,vesoft-inc/nebula,23,61,1,1,22,60,23,0.1894651975275464,0.4098360655737705
206424,apache/cassandra,31,59,0,0,31,59,31,0.0755530020109164,0.2203389830508474
160999,apache/zookeeper,25,53,2,4,23,49,25,0.0530437878248487,0.1132075471698113
714074,pouchdb/pouchdb,17,50,1,2,16,48,17,0.2704,0.5
574694308,RhizomeDB/rs-rhizome,16,48,0,0,16,48,16,0.1067708333333333,0.1875
47973088,gchq/Gaffer,15,48,4,21,11,27,15,0.1588541666666667,0.3333333333333333
