referencing_entity_type,count,share
IssueComment,1816751,0.4847153661156465
Push,1166027,0.3110999824443354
PullRequest,335538,0.089522683359311
Issue,168892,0.0450609619116784
Release,96690,0.0257972219361496
PullRequestReview,72597,0.0193691273233908
PullRequestReviewComment,52764,0.0140776152470679
CommitComment,38819,0.01035704166242
