event_type,count,share
IssueCommentEvent,1816751,0.4847153661156465
PushEvent,1166027,0.3110999824443354
PullRequestEvent,335538,0.089522683359311
IssuesEvent,168892,0.0450609619116784
ReleaseEvent,96690,0.0257972219361496
PullRequestReviewEvent,72597,0.0193691273233908
PullRequestReviewCommentEvent,52764,0.0140776152470679
CommitCommentEvent,38819,0.01035704166242
