metric,rank,value,cdf,ccdf
directed_cross_project_edge_weight,1,1,0.00010411244143675169,1.0
directed_cross_project_edge_weight,2,1,0.00020822488287350338,0.9998958875585633
directed_cross_project_edge_weight,3,1,0.00031233732431025507,0.9997917751171265
directed_cross_project_edge_weight,4,1,0.00041644976574700676,0.9996876626756898
directed_cross_project_edge_weight,5,1,0.0005205622071837585,0.9995835502342529
directed_cross_project_edge_weight,6,1,0.0006246746486205101,0.9994794377928162
directed_cross_project_edge_weight,7,1,0.0007287870900572618,0.9993753253513795
directed_cross_project_edge_weight,8,1,0.0008328995314940135,0.9992712129099427
directed_cross_project_edge_weight,9,1,0.0009370119729307652,0.999167100468506
directed_cross_project_edge_weight,10,1,0.001041124414367517,0.9990629880270693
directed_cross_project_edge_weight,11,1,0.0011452368558042686,0.9989588755856325
directed_cross_project_edge_weight,12,1,0.0012493492972410203,0.9988547631441957
directed_cross_project_edge_weight,13,1,0.001353461738677772,0.9987506507027589
directed_cross_project_edge_weight,14,1,0.0014575741801145237,0.9986465382613222
directed_cross_project_edge_weight,15,1,0.0015616866215512754,0.9985424258198855
directed_cross_project_edge_weight,16,1,0.001665799062988027,0.9984383133784487
directed_cross_project_edge_weight,17,1,0.0017699115044247787,0.998334200937012
directed_cross_project_edge_weight,18,1,0.0018740239458615304,0.9982300884955753
directed_cross_project_edge_weight,19,1,0.001978136387298282,0.9981259760541384
directed_cross_project_edge_weight,20,1,0.002082248828735034,0.9980218636127017
directed_cross_project_edge_weight,21,1,0.0021863612701717855,0.9979177511712649
directed_cross_project_edge_weight,22,1,0.002290473711608537,0.9978136387298282
directed_cross_project_edge_weight,23,1,0.002394586153045289,0.9977095262883915
directed_cross_project_edge_weight,24,1,0.0024986985944820406,0.9976054138469547
directed_cross_project_edge_weight,25,1,0.0026028110359187923,0.997501301405518
directed_cross_project_edge_weight,26,1,0.002706923477355544,0.9973971889640812
directed_cross_project_edge_weight,27,1,0.0028110359187922956,0.9972930765226444
directed_cross_project_edge_weight,28,1,0.0029151483602290473,0.9971889640812077
directed_cross_project_edge_weight,29,1,0.003019260801665799,0.9970848516397709
directed_cross_project_edge_weight,30,1,0.0031233732431025507,0.9969807391983342
directed_cross_project_edge_weight,31,1,0.0032274856845393024,0.9968766267568975
directed_cross_project_edge_weight,32,1,0.003331598125976054,0.9967725143154607
directed_cross_project_edge_weight,33,1,0.0034357105674128058,0.996668401874024
directed_cross_project_edge_weight,34,1,0.0035398230088495575,0.9965642894325872
directed_cross_project_edge_weight,35,1,0.003643935450286309,0.9964601769911504
directed_cross_project_edge_weight,36,1,0.003748047891723061,0.9963560645497137
directed_cross_project_edge_weight,37,1,0.0038521603331598125,0.9962519521082769
directed_cross_project_edge_weight,38,1,0.003956272774596564,0.9961478396668402
directed_cross_project_edge_weight,39,1,0.004060385216033316,0.9960437272254035
directed_cross_project_edge_weight,40,1,0.004164497657470068,0.9959396147839666
directed_cross_project_edge_weight,41,1,0.004268610098906819,0.9958355023425299
directed_cross_project_edge_weight,42,1,0.004372722540343571,0.9957313899010932
directed_cross_project_edge_weight,43,1,0.004476834981780323,0.9956272774596564
directed_cross_project_edge_weight,44,1,0.004580947423217074,0.9955231650182197
directed_cross_project_edge_weight,45,1,0.004685059864653826,0.9954190525767829
directed_cross_project_edge_weight,46,1,0.004789172306090578,0.9953149401353462
directed_cross_project_edge_weight,47,1,0.0048932847475273294,0.9952108276939094
directed_cross_project_edge_weight,48,1,0.004997397188964081,0.9951067152524726
directed_cross_project_edge_weight,49,1,0.005101509630400833,0.9950026028110359
directed_cross_project_edge_weight,50,1,0.0052056220718375845,0.9948984903695992
directed_cross_project_edge_weight,51,1,0.005309734513274336,0.9947943779281624
directed_cross_project_edge_weight,52,1,0.005413846954711088,0.9946902654867257
directed_cross_project_edge_weight,53,1,0.00551795939614784,0.9945861530452889
directed_cross_project_edge_weight,54,1,0.005622071837584591,0.9944820406038521
directed_cross_project_edge_weight,55,1,0.005726184279021343,0.9943779281624154
directed_cross_project_edge_weight,56,1,0.005830296720458095,0.9942738157209786
directed_cross_project_edge_weight,57,1,0.005934409161894846,0.9941697032795419
directed_cross_project_edge_weight,58,1,0.006038521603331598,0.9940655908381052
directed_cross_project_edge_weight,59,1,0.00614263404476835,0.9939614783966684
directed_cross_project_edge_weight,60,1,0.006246746486205101,0.9938573659552317
directed_cross_project_edge_weight,61,1,0.006350858927641853,0.9937532535137948
directed_cross_project_edge_weight,62,1,0.006454971369078605,0.9936491410723581
directed_cross_project_edge_weight,63,1,0.0065590838105153565,0.9935450286309214
directed_cross_project_edge_weight,64,1,0.006663196251952108,0.9934409161894846
directed_cross_project_edge_weight,65,1,0.00676730869338886,0.9933368037480479
directed_cross_project_edge_weight,66,1,0.0068714211348256116,0.9932326913066112
directed_cross_project_edge_weight,67,1,0.006975533576262363,0.9931285788651744
directed_cross_project_edge_weight,68,1,0.007079646017699115,0.9930244664237377
directed_cross_project_edge_weight,69,1,0.007183758459135867,0.9929203539823008
