project_id,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,community_id
60246359,359,1086.0,0.0023653537915687,0.1096373169591043,4
17165658,310,2234.0,0.0039252531579496,0.0886340077644546,1
16563587,272,4257.0,0.0032287822878228,0.0842274793286782,8
453068084,317,2037.0,0.0029948488599608,0.0804659114150379,0
334274271,307,43595.0,0.0016393093610951,0.0777487501116901,7
138754790,219,635.0,0.0033932386577855,0.0705281343008402,5
11225014,233,1734.0,0.0031078881160278,0.0659636248892833,2
358917318,181,1449.0,0.0100675260896255,0.0650177047118388,0
166515022,186,1640.0,0.0097646033129904,0.0512257738026529,1
197814629,34,692.0,0.0338680926916221,0.050823504894052,3
6838921,188,1708.0,0.0066560473318921,0.0486127266213579,2
507775,157,2068.0,0.0067777233382328,0.0482324221730542,6
6934395,66,775.0,0.02004662004662,0.0414961549295338,1
156018,110,390.0,0.0035029190992493,0.0395378525622872,5
41986369,145,1354.0,0.0081417624521072,0.0385568171682258,2
190416463,24,96.0,0.0507246376811594,0.0355564775399719,8
388946490,121,4748.0,0.0111570247933884,0.0339414590601386,1
268163609,179,5015.0,0.0043939489046513,0.0339220192406769,0
351806852,138,1802.0,0.0009520787051729,0.0327402862246761,9
302827809,127,418.0,0.0104986876640419,0.0318314658044021,0
422821402,100,983.0,0.0024242424242424,0.0312805612545208,2
114619105,131,652.0,0.0098649442160892,0.0305668826741803,1
150954997,119,627.0,0.0116792479703745,0.030118762910946,2
619008516,42,49.0,0.0348432055749128,0.0282046011449365,4
480217156,114,372.0,0.0125756870051234,0.0272601873117532,0
52855516,21,45.0,0.0714285714285714,0.0266391542391037,19
49876476,118,240.0,0.0,0.0257410600469908,11
208728772,117,437.0,0.0042735042735042,0.0254942984992202,17
130688011,115,4192.0,0.005949656750572,0.0251532815450725,16
19961085,125,314.0,0.0074838709677419,0.0250462029523717,3
385634291,123,3721.0,0.0070638411302145,0.0246743295487295,2
3786237,142,5017.0,0.0033962641094795,0.0235364961608042,3
23096959,32,440.0,0.0826612903225806,0.02337067228861,8
51905353,28,201.0,0.1269841269841269,0.0233092107347572,8
11695619,91,1136.0,0.0,0.0224867469907278,3
5349565,71,1047.0,0.0229376257545271,0.0217568166803389,1
6358188,118,392.0,0.0040562074460379,0.021696269456499,3
11008207,95,2380.0,0.0035834266517357,0.0215403960420516,13
20587599,90,322.0,0.0157303370786516,0.0214308195902986,1
23357588,21,550.0,0.0761904761904762,0.0209088633460668,3
927442,21,2200.0,0.0904761904761904,0.0204450762899317,10
7437073,78,486.0,0.0,0.0200640183460862,3
546206616,86,767.0,0.0027359781121751,0.019922383921345,12
911980,79,660.0,0.0,0.0196054645144635,4
20300177,32,244.0,0.0725806451612903,0.0196028733770714,3
75425073,69,839.0,0.000852514919011,0.0194895312549156,1
105944401,95,268.0,0.012094064949608,0.01872940184456,10
9342529,62,889.0,0.0195663670015864,0.0173947657586309,6
724712,25,125.0,0.1233333333333333,0.0173863785217707,9
30449481,80,1850.0,0.0085443037974683,0.0173595073693043,14
