community_id,community_size
0,823
1,802
2,783
3,581
4,504
5,453
6,284
7,234
8,232
9,194
10,153
11,133
12,133
13,132
14,109
15,106
16,85
17,84
18,72
19,71
20,66
21,66
22,40
23,36
24,32
25,28
26,25
27,24
28,23
29,23
30,14
31,12
32,10
33,9
