node_u,node_v,weight,directed_edge_count
19961085,21193524,15,1
19961085,250110282,15,1
19961085,363150,23,1
199684110,357707809,19,1
200299178,334274271,34,1
200299178,357707809,22,1
20037550,60377070,77,1
200437066,334274271,17,1
200511807,268163609,90,1
20089857,33880730,16,1
20089857,5695907,20,1
201455508,41986369,27,1
201455508,48833910,11,1
201517171,268163609,190,1
201584981,268163609,114,1
201584981,49412556,26,1
20188259,268163609,31,1
202127068,507775,41,1
20275545,60377070,11,1
20300177,206686299,15,1
20300177,334274271,77,1
20300177,346976717,12,1
20300177,3786237,27,1
20300177,45732002,14,1
20300177,9342529,12,1
20321688,334274271,69,1
203461509,334274271,25,1
204020546,75425073,24,1
2045207,206444,12,1
2045207,334274271,11,1
2045207,3786237,16,1
2045207,45732002,12,1
2045207,7437073,19,1
2045207,77385607,49,1
204727434,911980,10,1
20491274,422821402,68,1
20587599,21193524,27,1
20587599,257240581,11,1
20587599,557980,11,1
20587599,569293325,49,1
206339,77385607,12,1
206341,206686299,17,1
206341,77385607,35,1
206371,334274271,19,1
206371,3786237,24,1
206371,6358188,25,1
206372614,86868560,14,1
206417,337986406,11,1
206417,374927,14,1
206417,680799,12,1
206417,87245701,11,1
206424,85817267,13,1
206444,240846407,18,1
206483,334274271,64,1
206483,3786237,126,1
206686299,21193524,12,1
206686299,2888818,12,1
206686299,35699223,14,1
206686299,6207167,48,1
206686299,85795396,12,1
20675635,388946490,12,1
208728772,20904437,14,1
208728772,213633271,10,1
208728772,27522271,19,1
208728772,442441672,28,1
208728772,510182286,24,1
208728772,518393338,13,1
208728772,51905353,17,1
208728772,676419965,13,1
20929025,30449481,14,1
209881172,9342529,10,1
210716005,30449481,81,1
210716005,5844474,13,1
21125024,25780780,17,1
212936374,268163609,93,1
212936374,496817075,14,1
212936374,510375115,21,1
21338027,30449481,38,1
213836768,268163609,150,1
213836768,496817075,14,1
214487724,268163609,21,1
215566462,6838921,37,1
216283035,351806852,14,1
216494674,268163609,59,1
216797458,268163609,10,1
21946092,268163609,34,1
21946092,351806852,11,1
21985130,35700771,22,1
220186120,220391287,10,1
220186120,27522241,93,1
220186120,27522271,79,1
220186120,27522282,25,1
220186120,27729907,59,1
220186120,33352201,19,1
220186120,3698588,14,1
220186120,45938451,13,1
220186120,51620247,20,1
220186120,63625434,21,1
220186120,7823926,32,1
220391287,334274271,27,1
220391287,3786237,121,1
221058575,351806852,26,1
221058575,453068084,39,1
221862,77385607,18,1
221981891,75425073,59,1
22266795,6358188,15,1
223485832,358917318,61,1
223490876,388946490,125,1
22360263,268163609,41,1
22360263,357707809,22,1
22360263,49412556,23,1
223708643,334274271,10,1
224021526,385634291,22,1
224021526,6838921,12,1
224289715,385634291,48,1
22432442,268163609,37,1
22446506,268163609,105,1
22446506,357707809,62,1
22446506,496817075,33,1
224592887,388946490,162,1
22525984,77385607,10,1
226417174,496817075,12,1
22684655,346976717,11,1
22700054,385634291,53,1
22734848,358917318,21,1
22734848,453068084,90,1
22855240,385634291,43,1
22855240,6838921,13,1
228908078,660776503,23,1
23050110,3786237,39,1
23086893,60246359,13,1
23088740,2649214,51,1
23088740,357707809,16,1
23096959,41986369,20,1
23096959,6838921,11,1
23206290,3786237,95,1
23206290,77385607,83,1
232539879,6838921,17,1
232539879,94593596,12,1
233147271,86868560,35,1
23357588,334274271,65,1
23357588,3786237,175,1
23357588,41986369,42,1
23357588,45732002,53,1
23357588,7437073,59,1
23357588,77385607,90,1
23622727,6838921,33,1
236824540,95817032,26,1
236953554,268163609,19,1
2394379,396867188,10,1
24000265,31315021,27,1
240315046,635374751,17,1
24063576,411979983,13,1
24063576,449924556,460,1
2410676,268163609,106,1
2410676,357707809,35,1
2410676,41349039,10,1
2410676,9342529,14,1
241092383,268163609,11,1
241092383,357707809,32,1
241092383,510375115,15,1
242202166,385634291,36,1
242202166,396856161,29,1
242202166,422821402,25,1
242202166,6838921,30,1
242923372,385634291,17,1
2430537,30449481,29,1
244123773,7437073,52,1
24494032,30753733,18,1
24494032,49876476,11,1
24560307,357707809,13,1
24560307,5844474,39,1
24725038,268163609,29,1
24725038,357707809,47,1
24747723,259542436,38,1
24776728,388946490,186,1
248790367,396856161,11,1
249098063,3786237,26,1
249466377,95817032,46,1
249512698,30449481,19,1
24963784,75425073,20,1
2524488,286732086,22,1
2524488,310611,16,1
2524488,4228808,14,1
2524488,509836733,29,1
2524488,5695907,16,1
252650176,99919302,11,1
253290187,496817075,23,1
25417964,385634291,27,1
2544305,30449481,13,1
2544305,334274271,33,1
254774075,496817075,83,1
254865575,334274271,14,1
255043026,510375115,14,1
257044091,77385607,26,1
25777459,268163609,93,1
25780780,29849956,52,1
25780780,421101922,11,1
25872841,385634291,25,1
25881432,334274271,19,1
258933250,496817075,63,1
