seed_order,seed_repo_id,seed_repo_name,filename,aggregate_rows_v1,aggregate_rows_v2,aggregate_core_no_drift,source_aggregate_drift_rows,target_aggregate_drift_rows,relation_type_drift_rows,reference_multiplicity_drift,aggregate_join_statuses,admitted_rows,rejected_rows,expected_source_context_repo_id
38,542714,ravendb/ravendb,ravendb_ravendb_2023.csv,3653,3653,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3653}",3653,0,542714
39,158975124,apache/iotdb,apache_iotdb_2023.csv,65256,65256,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 65256}",65256,0,158975124
40,206424,apache/cassandra,apache_cassandra_2023.csv,3779,3779,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3779}",3779,0,206424
41,156018,redis/redis,redis_redis_2023.csv,6922,6922,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 6922}",6922,0,156018
42,196353673,taosdata/TDengine,taosdata_TDengine_2023.csv,40031,40031,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 40031}",40031,0,196353673
43,84240850,timescale/timescaledb,timescale_timescaledb_2023.csv,14662,14662,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 14662}",14662,0,84240850
44,9342529,crate/crate,crate_crate_2023.csv,9375,9375,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 9375}",9375,0,9342529
45,150954997,VictoriaMetrics/VictoriaMetrics,VictoriaMetrics_VictoriaMetrics_2023.csv,31402,31402,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 31402}",31402,0,150954997
46,268163609,qdrant/qdrant,qdrant_qdrant_2023.csv,18934,18934,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 18934}",18934,0,268163609
47,6934395,facebook/rocksdb,facebook_rocksdb_2023.csv,11174,11174,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 11174}",11174,0,6934395
48,20089857,apache/hbase,apache_hbase_2023.csv,41966,41966,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 41966}",41966,0,20089857
49,546206616,chroma-core/chroma,chroma-core_chroma_2023.csv,8163,8163,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 8163}",8163,0,546206616
50,341631350,apache/lucene,apache_lucene_2023.csv,5839,5839,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 5839}",5839,0,341631350
51,6838921,prometheus/prometheus,prometheus_prometheus_2023.csv,10684,10684,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 10684}",10684,0,6838921
52,19257422,questdb/questdb,questdb_questdb_2023.csv,7967,7967,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 7967}",7967,0,19257422
53,2524488,apache/accumulo,apache_accumulo_2023.csv,5136,5136,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 5136}",5136,0,2524488
54,198683574,dolthub/dolt,dolthub_dolt_2023.csv,7111,7111,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 7111}",7111,0,198683574
55,298763623,kuzudb/kuzu,kuzudb_kuzu_2023.csv,14468,14468,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 14468}",14468,0,298763623
56,50874442,citusdata/citus,citusdata_citus_2023.csv,15562,15562,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 15562}",15562,0,50874442
57,357707809,quickwit-oss/quickwit,quickwit-oss_quickwit_2023.csv,13200,13200,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 13200}",13200,0,357707809
58,1917262,realm/realm-core,realm_realm-core_2023.csv,10337,10337,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 10337}",10337,0,1917262
59,95817032,edgedb/edgedb,edgedb_edgedb_2023.csv,10026,10026,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 10026}",10026,0,95817032
60,52080367,CUBRID/cubrid,CUBRID_cubrid_2023.csv,5811,5811,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 5811}",5811,0,52080367
61,1050944,infinispan/infinispan,infinispan_infinispan_2023.csv,3367,3367,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3367}",3367,0,1050944
62,478288303,nuclia/nucliadb,nuclia_nucliadb_2023.csv,37709,37709,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 37709}",37709,0,478288303
