seed_order,seed_repo_id,seed_repo_name,filename,relation_rows,reference_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,source_seed_mismatch_after_admission,affected_source_seed
216,865412,OpenTSDB/opentsdb,OpenTSDB_opentsdb_2023.csv,752,80,80,46,0,0,752,0,0,0,0,NO
217,18351848,typicode/lowdb,typicode_lowdb_2023.csv,2474,48,48,26,0,0,2474,0,0,0,0,NO
218,48617634,orbitdb/orbit-db,orbitdb_orbit-db_2023.csv,994,80,80,39,0,0,994,0,0,0,0,NO
219,7357595,zopefoundation/ZODB,zopefoundation_ZODB_2023.csv,718,62,62,37,0,0,718,0,0,0,0,NO
220,628503457,jdagdelen/hyperDB,jdagdelen_hyperDB_2023.csv,2091,45,45,35,0,0,2091,0,0,0,0,NO
221,5761553,oetiker/rrdtool-1.x,oetiker_rrdtool-1.x_2023.csv,680,147,147,49,0,0,680,0,0,0,0,NO
222,679889516,fireproof-storage/fireproof,fireproof-storage_fireproof_2023.csv,4467,178,58,41,120,91,1450,3017,0,0,0,YES
223,11380094,msiemens/tinydb,msiemens_tinydb_2023.csv,1433,77,77,42,0,0,1433,0,0,0,0,NO
224,26774602,proullon/ramsql,proullon_ramsql_2023.csv,997,53,53,26,0,0,997,0,0,0,0,NO
225,52507351,diennea/herddb,diennea_herddb_2023.csv,698,87,87,48,0,0,698,0,0,0,0,NO
226,597066476,tontinton/dbeel,tontinton_dbeel_2023.csv,2782,16,16,16,0,0,2782,0,0,0,0,NO
227,57401138,bitnine-oss/agensgraph,bitnine-oss_agensgraph_2023.csv,475,43,43,28,0,0,475,0,0,0,0,NO
228,429630067,marsupialtail/quokka,marsupialtail_quokka_2023.csv,1700,64,64,59,0,0,1700,0,0,0,0,NO
229,143436277,baidu/BaikalDB,baidu_BaikalDB_2023.csv,645,32,32,26,0,0,645,0,0,0,0,NO
230,613723,basho/riak,basho_riak_2023.csv,689,104,104,51,0,0,689,0,0,0,0,NO
231,635374751,jina-ai/vectordb,jina-ai_vectordb_2023.csv,933,63,63,39,0,0,933,0,0,0,0,NO
232,52420005,griddb/griddb,griddb_griddb_2023.csv,1996,16,16,13,0,0,1996,0,0,0,0,NO
233,5453989,jankotek/mapdb,jankotek_mapdb_2023.csv,493,28,28,16,0,0,493,0,0,0,0,NO
234,266444815,earthstar-project/earthstar,earthstar-project_earthstar_2023.csv,746,60,60,48,0,0,746,0,0,0,0,NO
235,81411018,microsoft/GraphEngine,microsoft_GraphEngine_2023.csv,416,41,41,33,0,0,416,0,0,0,0,NO
236,18800032,tonsky/datascript,tonsky_datascript_2023.csv,804,48,48,32,0,0,804,0,0,0,0,NO
237,34839383,apache/geode,apache_geode_2023.csv,892,54,54,33,0,0,892,0,0,0,0,NO
238,206403,apache/jackrabbit,apache_jackrabbit_2023.csv,1491,269,269,236,0,0,1491,0,0,0,0,NO
239,320459354,bytedance/terarkdb,bytedance_terarkdb_2023.csv,406,10,10,10,0,0,406,0,0,0,0,NO
240,722117815,cursusdb/cursusdb,cursusdb_cursusdb_2023.csv,2084,52,52,32,0,0,2084,0,0,0,0,NO
241,56128733,apache/impala,apache_impala_2023.csv,4106,2154,2154,375,0,0,4106,0,0,0,0,NO
242,20537104,cayleygraph/cayley,cayleygraph_cayley_2023.csv,646,27,27,15,0,0,646,0,0,0,0,NO
243,160528020,mateusfreira/nun-db,mateusfreira_nun-db_2023.csv,626,30,30,20,0,0,626,0,0,0,0,NO
244,590507334,StereoDB/StereoDB,StereoDB_StereoDB_2023.csv,572,21,21,13,0,0,572,0,0,0,0,NO
245,6427744,Softmotions/ejdb,Softmotions_ejdb_2023.csv,371,32,32,15,0,0,371,0,0,0,0,NO
246,116522453,akrylysov/pogreb,akrylysov_pogreb_2023.csv,395,12,12,9,0,0,395,0,0,0,0,NO
247,684046299,OpenTenBase/OpenTenBase,OpenTenBase_OpenTenBase_2023.csv,271,21,21,20,0,0,271,0,0,0,0,NO
248,26917250,pkumod/gStore,pkumod_gStore_2023.csv,492,29,29,13,0,0,492,0,0,0,0,NO
249,722854801,oasysai/oasysdb,oasysai_oasysdb_2023.csv,572,21,21,19,0,0,572,0,0,0,0,NO
250,147880351,njaard/sonnerie,njaard_sonnerie_2023.csv,230,17,17,13,0,0,230,0,0,0,0,NO
251,8039659,kairosdb/kairosdb,kairosdb_kairosdb_2023.csv,296,46,46,18,0,0,296,0,0,0,0,NO
252,50229487,apache/lucene-solr,apache_lucene-solr_2023.csv,499,49,49,25,0,0,499,0,0,0,0,NO
253,371172777,kelindar/column,kelindar_column_2023.csv,512,30,30,13,0,0,512,0,0,0,0,NO
254,111333972,arun1729/cog,arun1729_cog_2023.csv,268,11,11,11,0,0,268,0,0,0,0,NO
255,11654790,techfort/LokiJS,techfort_LokiJS_2023.csv,474,19,19,14,0,0,474,0,0,0,0,NO
256,183929744,erikgrinaker/toydb,erikgrinaker_toydb_2023.csv,2213,15,15,11,0,0,2213,0,0,0,0,NO
257,735981,xapian/xapian,xapian_xapian_2023.csv,1896,370,370,104,0,0,1896,0,0,0,0,NO
258,632269609,kagisearch/vectordb,kagisearch_vectordb_2023.csv,837,6,6,6,0,0,837,0,0,0,0,NO
259,278320002,estraier/tkrzw,estraier_tkrzw_2023.csv,333,17,17,10,0,0,333,0,0,0,0,NO
260,411979983,elmarti/camadb,elmarti_camadb_2023.csv,406,131,131,39,0,0,406,0,0,0,0,NO
261,33275300,cachelot/cachelot,cachelot_cachelot_2023.csv,134,15,15,11,0,0,134,0,0,0,0,NO
262,341208515,edgelesssys/edgelessdb,edgelesssys_edgelessdb_2023.csv,150,12,12,11,0,0,150,0,0,0,0,NO
263,61269853,vanilladb/vanillacore,vanilladb_vanillacore_2023.csv,288,8,8,7,0,0,288,0,0,0,0,NO
264,37285717,pilgr/Paper,pilgr_Paper_2023.csv,177,17,17,11,0,0,177,0,0,0,0,NO
265,184227406,tikv/agatedb,tikv_agatedb_2023.csv,398,17,17,9,0,0,398,0,0,0,0,NO
266,129436009,rakibtg/SleekDB,rakibtg_SleekDB_2023.csv,240,22,22,15,0,0,240,0,0,0,0,NO
267,474070793,SnellerInc/sneller,SnellerInc_sneller_2023.csv,714,135,135,56,0,0,714,0,0,0,0,NO
268,331747853,microsoft/Extensible-Storage-Engine,microsoft_Extensible-Storage-Engine_2023.csv,136,12,12,7,0,0,136,0,0,0,0,NO
269,8103021,Netflix/EVCache,Netflix_EVCache_2023.csv,335,11,11,7,0,0,335,0,0,0,0,NO
270,64404140,tidwall/redcon,tidwall_redcon_2023.csv,311,11,11,10,0,0,311,0,0,0,0,NO
271,176278485,sqlite/sqlite,sqlite_sqlite_2023.csv,10494,130,130,99,0,0,10494,0,0,0,0,NO
272,50647838,apache/kudu,apache_kudu_2023.csv,3643,1977,1977,345,0,0,3643,0,0,0,0,NO
273,63731386,tidwall/buntdb,tidwall_buntdb_2023.csv,482,8,8,4,0,0,482,0,0,0,0,NO
274,97518356,dremio/dremio-oss,dremio_dremio-oss_2023.csv,343,23,23,9,0,0,343,0,0,0,0,NO
275,681142,Bobris/BTDB,Bobris_BTDB_2023.csv,887,27,27,11,0,0,887,0,0,0,0,NO
276,5912693,ncannasse/castle,ncannasse_castle_2023.csv,213,4,4,4,0,0,213,0,0,0,0,NO
277,31976266,apache/asterixdb,apache_asterixdb_2023.csv,3477,2080,2080,314,0,0,3477,0,0,0,0,NO
278,197858776,textileio/go-threads,textileio_go-threads_2023.csv,132,15,15,11,0,0,132,0,0,0,0,NO
279,8335020,BrightstarDB/BrightstarDB,BrightstarDB_BrightstarDB_2023.csv,202,51,51,17,0,0,202,0,0,0,0,NO
280,15001136,etoile/CoreObject,etoile_CoreObject_2023.csv,147,4,4,4,0,0,147,0,0,0,0,NO
281,48451041,blazegraph/database,blazegraph_database_2023.csv,218,11,11,5,0,0,218,0,0,0,0,NO
282,738338,NEventStore/NEventStore,NEventStore_NEventStore_2023.csv,132,6,6,6,0,0,132,0,0,0,0,NO
283,210997817,redwood/redwood,redwood_redwood_2023.csv,287,65,65,16,0,0,287,0,0,0,0,NO
284,85236158,lambdazen/bitsy,lambdazen_bitsy_2023.csv,72,6,6,6,0,0,72,0,0,0,0,NO
285,416174776,pysonDB/pysonDB-v2,pysonDB_pysonDB-v2_2023.csv,107,14,14,8,0,0,107,0,0,0,0,NO
286,7561862,ideawu/ssdb,ideawu_ssdb_2023.csv,300,7,7,3,0,0,300,0,0,0,0,NO
287,124315604,aerospike/aerospike-server,aerospike_aerospike-server_2023.csv,1732,941,941,115,0,0,1732,0,0,0,0,NO
288,131763823,quoll/asami,quoll_asami_2023.csv,149,6,6,6,0,0,149,0,0,0,0,NO
289,509396909,lingo-db/lingo-db,lingo-db_lingo-db_2023.csv,258,4,4,4,0,0,258,0,0,0,0,NO
290,345982729,GreatSQL/GreatSQL,GreatSQL_GreatSQL_2023.csv,368,179,179,9,0,0,368,0,0,0,0,NO
291,587246478,endatabas/endb,endatabas_endb_2023.csv,2254,5,5,5,0,0,2254,0,0,0,0,NO
292,51290852,bigchaindb/bigchaindb,bigchaindb_bigchaindb_2023.csv,224,10,10,6,0,0,224,0,0,0,0,NO
293,129072319,CovenantSQL/CovenantSQL,CovenantSQL_CovenantSQL_2023.csv,211,13,13,4,0,0,211,0,0,0,0,NO
294,2662146,patx/pickledb,patx_pickledb_2023.csv,177,4,4,3,0,0,177,0,0,0,0,NO
