seed_order,seed_repo_id,seed_repo_name,filename,relation_rows,reference_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,source_seed_mismatch_after_admission,affected_source_seed
50,341631350,apache/lucene,apache_lucene_2023.csv,42495,5839,5839,3716,0,0,42495,0,0,0,0,NO
51,6838921,prometheus/prometheus,prometheus_prometheus_2023.csv,55350,10684,10684,3921,0,0,55350,0,0,0,0,NO
52,19257422,questdb/questdb,questdb_questdb_2023.csv,59183,7967,7967,3231,0,0,59183,0,0,0,0,NO
53,2524488,apache/accumulo,apache_accumulo_2023.csv,36738,5136,5136,2925,0,0,36738,0,0,0,0,NO
54,198683574,dolthub/dolt,dolthub_dolt_2023.csv,63932,7111,7111,4097,0,0,63932,0,0,0,0,NO
55,298763623,kuzudb/kuzu,kuzudb_kuzu_2023.csv,65542,14468,14468,3130,0,0,65542,0,0,0,0,NO
56,50874442,citusdata/citus,citusdata_citus_2023.csv,64433,15562,15562,3158,0,0,64433,0,0,0,0,NO
57,357707809,quickwit-oss/quickwit,quickwit-oss_quickwit_2023.csv,59690,13200,13200,3391,0,0,59690,0,0,0,0,NO
58,1917262,realm/realm-core,realm_realm-core_2023.csv,51036,10337,10337,2410,0,0,51036,0,0,0,0,NO
59,95817032,edgedb/edgedb,edgedb_edgedb_2023.csv,54654,10026,10026,2918,0,0,54654,0,0,0,0,NO
60,52080367,CUBRID/cubrid,CUBRID_cubrid_2023.csv,33618,5811,5811,1930,0,0,33618,0,0,0,0,NO
61,1050944,infinispan/infinispan,infinispan_infinispan_2023.csv,31529,3367,3367,2061,0,0,31529,0,0,0,0,NO
62,478288303,nuclia/nucliadb,nuclia_nucliadb_2023.csv,102724,37709,37709,9419,0,0,102724,0,0,0,0,NO
63,195619075,vdaas/vald,vdaas_vald_2023.csv,73564,40883,40883,6578,0,0,73564,0,0,0,0,NO
64,182849188,delta-io/delta,delta-io_delta_2023.csv,25620,4070,4070,1748,0,0,25620,0,0,0,0,NO
65,86868560,TileDB-Inc/TileDB,TileDB-Inc_TileDB_2023.csv,43862,10587,10587,2312,0,0,43862,0,0,0,0,NO
66,496817075,GlareDB/glaredb,GlareDB_glaredb_2023.csv,37177,9224,9224,2308,0,0,37177,0,0,0,0,NO
67,130688011,meilisearch/meilisearch,meilisearch_meilisearch_2023.csv,61988,16342,16342,3352,0,0,61988,0,0,0,0,NO
68,276293034,apache/age,apache_age_2023.csv,22526,3304,3304,1958,0,0,22526,0,0,0,0,NO
69,19816070,MariaDB/server,MariaDB_server_2023.csv,63126,12600,12600,4104,0,0,63126,0,0,0,0,NO
70,31006158,apache/ignite,apache_ignite_2023.csv,49332,31736,31736,2143,0,0,49332,0,0,0,0,NO
71,41349039,dgraph-io/dgraph,dgraph-io_dgraph_2023.csv,33758,10702,10702,1472,0,0,33758,0,0,0,0,NO
72,346976717,4paradigm/OpenMLDB,4paradigm_OpenMLDB_2023.csv,21762,5847,5847,1584,0,0,21762,0,0,0,0,NO
73,206417,apache/couchdb,apache_couchdb_2023.csv,22657,2550,2550,1389,0,0,22657,0,0,0,0,NO
74,201403923,activeloopai/deeplake,activeloopai_deeplake_2023.csv,55433,24462,24462,2561,0,0,55433,0,0,0,0,NO
75,396856161,authzed/spicedb,authzed_spicedb_2023.csv,23088,4019,4019,1252,0,0,23088,0,0,0,0,NO
76,581145740,ByConity/ByConity,ByConity_ByConity_2023.csv,24964,3900,3900,1907,0,0,24964,0,0,0,0,NO
77,11695619,eXist-db/exist,eXist-db_exist_2023.csv,35759,20857,20857,2115,0,0,35759,0,0,0,0,NO
78,420965027,cnosdb/cnosdb,cnosdb_cnosdb_2023.csv,17808,2075,2075,1213,0,0,17808,0,0,0,0,NO
