project_id,community_id,community_size
124802455,1,148
12488647,4,30
12488845,14,11
12499251,1,148
125234630,13,132
125238132,7,215
125266328,12,84
125366028,0,66
12550138,12,84
1257070,0,66
12574344,18,234
125824259,22,529
12584841,4,30
125863507,13,132
126215645,2,652
126238614,2,652
126250425,21,36
126382836,11,23
126412363,8,85
126465227,0,66
12682522,5,40
126914245,10,852
127026401,13,132
127101557,2,652
12711522,2,652
12712630,23,9
127201711,2,652
127224346,0,66
127268366,2,652
127420809,1,148
127425805,14,11
12791642,4,30
128089774,1,148
128096570,11,23
128529416,10,852
128693525,10,852
1287669,8,85
128778692,13,132
128842710,8,85
128887107,2,652
129072319,2,652
129137599,4,30
12920091,16,14
129449094,4,30
129549229,8,85
1295612,4,30
129563456,1,148
129640825,4,30
129648001,2,652
129717717,2,652
12974177,4,30
129883659,4,30
129954828,3,170
130013,1,148
130040931,6,232
130084383,0,66
130107902,0,66
130140573,13,132
130237506,29,134
1303538,0,66
130370449,14,11
130386123,3,170
130546049,3,170
13057937,0,66
130688011,16,14
130727736,0,66
13078968,4,30
130865762,17,788
13092745,8,85
131014812,28,71
13124802,1,148
131339601,2,652
131347954,8,85
131364545,9,46
131389850,1,148
131403312,3,170
13150250,0,66
131584258,0,66
131738270,0,66
13191344,3,170
132057885,5,40
132145189,2,652
13222351,4,30
132232698,2,652
132313422,2,652
13238459,10,852
132518310,2,652
1325587,10,852
13258039,10,852
13273703,3,170
132776693,18,234
133067498,2,652
133092972,30,25
13310527,7,215
133134007,15,32
133238084,2,652
133275023,14,11
133411492,7,215
133431470,0,66
133442384,34,161
1334607,4,30
133491254,3,170
13379995,13,132
134018330,17,788
13404515,4,30
1341324,13,132
134603838,7,215
134683798,5,40
134862372,0,66
135060366,1,148
135175513,11,23
135201145,1,148
13524719,15,32
135356868,9,46
13539049,2,652
135618791,11,23
1357199,1,148
1357796,26,263
135798749,7,215
135900664,8,85
136060027,4,30
1361792,3,170
136202695,3,170
13624859,13,132
1362490,12,84
1362764,3,170
13628513,2,652
136494223,2,652
136510559,1,148
13655592,12,84
13655949,0,66
13674972,2,652
136806005,12,84
1368195,20,40
136926865,2,652
137101956,11,23
137137466,3,170
137247827,2,652
137255598,0,66
1372698,12,84
137362393,1,148
1374129,4,30
137430744,11,23
137444487,29,134
13745124,6,232
137451403,9,46
137724480,14,11
137814779,12,84
137855319,12,84
137869753,1,148
13793886,3,170
138105554,2,652
138290517,11,23
138411034,7,215
13855476,23,9
138596205,17,788
138597372,1,148
13868694,0,66
138707242,4,30
138717670,2,652
138754790,0,66
1388495,12,84
138867419,1,148
139076329,0,66
139201883,24,12
139314347,0,66
139405400,21,36
139499718,1,148
139543029,12,84
139545213,12,84
1397974,6,232
139914932,4,30
139969620,4,30
13998001,4,30
140029949,29,134
14003349,8,85
140034345,8,85
140053781,10,852
14008364,2,652
1402936,8,85
140325970,0,66
140482476,4,30
140609832,1,148
140656334,8,85
14076122,3,170
14115755,0,66
14125254,2,652
14128006,14,11
141339868,7,215
141345580,1,148
14135470,3,170
141376301,12,84
14143026,1,148
141451032,0,66
141621344,14,11
14173176,3,170
141846986,29,134
141877580,1,148
142017296,3,170
14210523,25,23
14212940,3,170
142161875,4,30
142369435,8,85
14243858,10,852
142473200,22,529
1425437,9,46
142720484,1,148
14281190,4,30
142890794,26,263
143040428,0,66
14313288,11,23
143220272,1,148
143262333,0,66
143321848,24,12
143328315,1,148
143344440,19,819
143379187,0,66
143436277,8,85
14367737,1,148
143839054,1,148
143840299,1,148
143841882,1,148
143867478,2,652
14389056,0,66
14401179,6,232
144025618,18,234
144073539,12,84
144092408,2,652
144403787,2,652
144419645,3,170
14447732,0,66
144573225,2,652
1446467,12,84
144708327,2,652
144749268,19,819
144751911,1,148
144752087,1,148
144952955,0,66
144987904,4,30
144999365,12,84
1450115,3,170
145036770,1,148
145076038,7,215
14509169,5,40
1451352,25,23
145156191,2,652
145263040,5,40
145303551,4,30
14532176,13,132
145434487,2,652
145749701,2,652
145880460,19,819
1458923,10,852
145900295,4,30
14594941,3,170
145976381,13,132
1460385,17,788
146116598,2,652
14624255,5,40
14627445,2,652
146285756,30,25
