source_project_id,dimension,category,count,within_object_share
148087762,source_entity_type,PullRequestReview,6,0.0015325670498084292
148087762,source_entity_type,PullRequestReviewComment,19,0.004853128991060026
148087762,source_entity_type,Push,3464,0.884802043422733
148087762,source_entity_type,Release,254,0.0648786717752235
150954997,event_type,CommitCommentEvent,6,0.00042884711600314486
150954997,event_type,IssueCommentEvent,1645,0.11757558430419555
150954997,event_type,IssuesEvent,588,0.042027017368308196
150954997,event_type,PullRequestEvent,523,0.03738117361160746
150954997,event_type,PullRequestReviewCommentEvent,108,0.007719248088056608
150954997,event_type,PullRequestReviewEvent,14,0.0010006432706740048
150954997,event_type,PushEvent,10217,0.7302551640340219
150954997,event_type,ReleaseEvent,890,0.06361232220713316
150954997,source_entity_type,CommitComment,6,0.00042884711600314486
150954997,source_entity_type,Issue,588,0.042027017368308196
150954997,source_entity_type,IssueComment,1645,0.11757558430419555
150954997,source_entity_type,PullRequest,523,0.03738117361160746
150954997,source_entity_type,PullRequestReview,14,0.0010006432706740048
150954997,source_entity_type,PullRequestReviewComment,108,0.007719248088056608
150954997,source_entity_type,Push,10217,0.7302551640340219
150954997,source_entity_type,Release,890,0.06361232220713316
16563587,event_type,IssueCommentEvent,93099,0.23951314763790163
16563587,event_type,IssuesEvent,74575,0.19185698004378687
16563587,event_type,PullRequestEvent,13438,0.03457156014520158
16563587,event_type,PullRequestReviewCommentEvent,290,0.000746074746398903
16563587,event_type,PullRequestReviewEvent,20200,0.051967965093992555
16563587,event_type,PushEvent,187099,0.4813442723327185
16563587,source_entity_type,Issue,74575,0.19185698004378687
16563587,source_entity_type,IssueComment,93099,0.23951314763790163
16563587,source_entity_type,PullRequest,13438,0.03457156014520158
16563587,source_entity_type,PullRequestReview,20200,0.051967965093992555
16563587,source_entity_type,PullRequestReviewComment,290,0.000746074746398903
16563587,source_entity_type,Push,187099,0.4813442723327185
166515022,event_type,CommitCommentEvent,3,0.0003555766267630674
166515022,event_type,IssueCommentEvent,3727,0.4417446959819841
166515022,event_type,IssuesEvent,733,0.08687922247244281
166515022,event_type,PullRequestEvent,2478,0.2937062937062937
166515022,event_type,PullRequestReviewCommentEvent,1079,0.12788906009244994
166515022,event_type,PullRequestReviewEvent,125,0.014815692781794476
166515022,event_type,PushEvent,292,0.0346094583382719
166515022,source_entity_type,CommitComment,3,0.0003555766267630674
166515022,source_entity_type,Issue,733,0.08687922247244281
166515022,source_entity_type,IssueComment,3727,0.4417446959819841
166515022,source_entity_type,PullRequest,2478,0.2937062937062937
166515022,source_entity_type,PullRequestReview,125,0.014815692781794476
166515022,source_entity_type,PullRequestReviewComment,1079,0.12788906009244994
166515022,source_entity_type,Push,292,0.0346094583382719
17165658,event_type,CommitCommentEvent,6,0.0003816551109980281
17165658,event_type,IssueCommentEvent,2426,0.15431588321353604
17165658,event_type,PullRequestEvent,1673,0.1064181667832835
17165658,event_type,PullRequestReviewCommentEvent,1646,0.10470071878379238
17165658,event_type,PullRequestReviewEvent,322,0.020482157623560843
17165658,event_type,PushEvent,9648,0.6137014184848292
17165658,source_entity_type,CommitComment,6,0.0003816551109980281
17165658,source_entity_type,IssueComment,2426,0.15431588321353604
17165658,source_entity_type,PullRequest,1673,0.1064181667832835
17165658,source_entity_type,PullRequestReview,322,0.020482157623560843
17165658,source_entity_type,PullRequestReviewComment,1646,0.10470071878379238
17165658,source_entity_type,Push,9648,0.6137014184848292
195619075,event_type,IssueCommentEvent,164,0.015576028112831227
195619075,event_type,IssuesEvent,2,0.00018995156235160034
195619075,event_type,PullRequestEvent,685,0.06505841010542311
195619075,event_type,PullRequestReviewCommentEvent,2668,0.25339538417703483
195619075,event_type,PullRequestReviewEvent,1560,0.14816221863424828
195619075,event_type,PushEvent,5436,0.5162883464716498
195619075,event_type,ReleaseEvent,14,0.0013296609364612023
195619075,source_entity_type,Issue,2,0.00018995156235160034
195619075,source_entity_type,IssueComment,164,0.015576028112831227
195619075,source_entity_type,PullRequest,685,0.06505841010542311
195619075,source_entity_type,PullRequestReview,1560,0.14816221863424828
195619075,source_entity_type,PullRequestReviewComment,2668,0.25339538417703483
195619075,source_entity_type,Push,5436,0.5162883464716498
195619075,source_entity_type,Release,14,0.0013296609364612023
208728772,event_type,CommitCommentEvent,1,3.4579342300909435e-05
