k,top_k,project_id,run_count,inclusion_count,inclusion_frequency
250,10,138754790,20,20,1.0
250,10,16563587,20,20,1.0
250,10,17165658,20,20,1.0
250,10,334274271,20,20,1.0
250,10,453068084,20,20,1.0
250,10,60246359,20,20,1.0
250,10,11225014,20,19,0.95
250,10,507775,20,17,0.85
250,10,358917318,20,15,0.75
250,10,6838921,20,10,0.5
250,10,197814629,20,7,0.35
250,10,166515022,20,6,0.3
250,10,268163609,20,4,0.2
250,10,156018,20,1,0.05
250,10,302827809,20,1,0.05
250,20,11225014,20,20,1.0
250,20,138754790,20,20,1.0
250,20,16563587,20,20,1.0
250,20,166515022,20,20,1.0
250,20,17165658,20,20,1.0
250,20,197814629,20,20,1.0
250,20,268163609,20,20,1.0
250,20,334274271,20,20,1.0
250,20,358917318,20,20,1.0
250,20,453068084,20,20,1.0
250,20,507775,20,20,1.0
250,20,60246359,20,20,1.0
250,20,6838921,20,20,1.0
250,20,156018,20,16,0.8
250,20,6934395,20,16,0.8
250,20,190416463,20,14,0.7
250,20,388946490,20,14,0.7
250,20,41986369,20,12,0.6
250,20,302827809,20,11,0.55
250,20,208728772,20,9,0.45
250,20,130688011,20,6,0.3
250,20,351806852,20,6,0.3
250,20,114619105,20,5,0.25
250,20,480217156,20,5,0.25
250,20,619008516,20,5,0.25
250,20,385634291,20,4,0.2
250,20,150954997,20,3,0.15
250,20,49876476,20,3,0.15
250,20,341631350,20,2,0.1
250,20,3786237,20,2,0.1
250,20,105944401,20,1,0.05
250,20,11008207,20,1,0.05
250,20,19961085,20,1,0.05
250,20,20587599,20,1,0.05
250,20,422821402,20,1,0.05
250,20,546206616,20,1,0.05
250,20,6358188,20,1,0.05
250,50,11225014,20,20,1.0
250,50,130688011,20,20,1.0
250,50,138754790,20,20,1.0
250,50,150954997,20,20,1.0
250,50,156018,20,20,1.0
250,50,16563587,20,20,1.0
250,50,166515022,20,20,1.0
250,50,17165658,20,20,1.0
250,50,190416463,20,20,1.0
250,50,197814629,20,20,1.0
250,50,208728772,20,20,1.0
250,50,23096959,20,20,1.0
250,50,23357588,20,20,1.0
250,50,268163609,20,20,1.0
250,50,302827809,20,20,1.0
250,50,334274271,20,20,1.0
250,50,351806852,20,20,1.0
250,50,358917318,20,20,1.0
250,50,388946490,20,20,1.0
250,50,41986369,20,20,1.0
250,50,453068084,20,20,1.0
250,50,49876476,20,20,1.0
250,50,507775,20,20,1.0
250,50,51905353,20,20,1.0
250,50,60246359,20,20,1.0
250,50,619008516,20,20,1.0
250,50,6838921,20,20,1.0
250,50,6934395,20,20,1.0
250,50,114619105,20,19,0.95
250,50,3786237,20,19,0.95
250,50,52855516,20,19,0.95
250,50,105944401,20,18,0.9
250,50,19961085,20,18,0.9
250,50,341631350,20,18,0.9
250,50,480217156,20,18,0.9
250,50,75425073,20,18,0.9
250,50,927442,20,18,0.9
250,50,6358188,20,17,0.85
250,50,911980,20,17,0.85
250,50,20300177,20,16,0.8
250,50,422821402,20,16,0.8
250,50,11008207,20,15,0.75
250,50,385634291,20,15,0.75
250,50,546206616,20,14,0.7
250,50,20587599,20,13,0.65
250,50,9342529,20,13,0.65
250,50,30449481,20,12,0.6
250,50,11695619,20,11,0.55
250,50,357707809,20,9,0.45
250,50,198683574,20,8,0.4
250,50,5349565,20,8,0.4
250,50,660776503,20,8,0.4
250,50,7437073,20,8,0.4
250,50,77385607,20,6,0.3
250,50,95614931,20,6,0.3
250,50,79317191,20,5,0.25
250,50,95817032,20,5,0.25
250,50,396856161,20,4,0.2
250,50,496817075,20,4,0.2
250,50,510607652,20,4,0.2
250,50,206417,20,3,0.15
250,50,33745913,20,3,0.15
250,50,339993112,20,3,0.15
250,50,34533675,20,3,0.15
250,50,48833910,20,3,0.15
250,50,49412556,20,3,0.15
250,50,542714,20,3,0.15
250,50,724712,20,3,0.15
250,50,86868560,20,3,0.15
250,50,99919302,20,3,0.15
250,50,13124802,20,2,0.1
250,50,44781140,20,2,0.1
250,50,60377070,20,2,0.1
250,50,1362490,20,1,0.05
250,50,23247808,20,1,0.05
250,50,2524488,20,1,0.05
250,50,276293034,20,1,0.05
250,50,7691631,20,1,0.05
500,10,11225014,20,20,1.0
500,10,138754790,20,20,1.0
500,10,16563587,20,20,1.0
500,10,17165658,20,20,1.0
500,10,334274271,20,20,1.0
500,10,453068084,20,20,1.0
500,10,60246359,20,20,1.0
500,10,358917318,20,15,0.75
500,10,507775,20,15,0.75
500,10,166515022,20,12,0.6
500,10,6838921,20,10,0.5
500,10,197814629,20,4,0.2
500,10,268163609,20,3,0.15
500,10,156018,20,1,0.05
500,20,11225014,20,20,1.0
500,20,138754790,20,20,1.0
500,20,16563587,20,20,1.0
500,20,166515022,20,20,1.0
500,20,17165658,20,20,1.0
500,20,197814629,20,20,1.0
500,20,268163609,20,20,1.0
500,20,334274271,20,20,1.0
500,20,358917318,20,20,1.0
500,20,453068084,20,20,1.0
500,20,507775,20,20,1.0
500,20,60246359,20,20,1.0
500,20,6838921,20,20,1.0
500,20,6934395,20,20,1.0
500,20,156018,20,19,0.95
500,20,190416463,20,16,0.8
500,20,41986369,20,16,0.8
500,20,388946490,20,14,0.7
500,20,302827809,20,12,0.6
500,20,208728772,20,7,0.35
500,20,619008516,20,7,0.35
500,20,480217156,20,6,0.3
500,20,351806852,20,5,0.25
500,20,49876476,20,5,0.25
500,20,130688011,20,4,0.2
500,20,75425073,20,2,0.1
500,20,11008207,20,1,0.05
500,20,114619105,20,1,0.05
500,20,150954997,20,1,0.05
500,20,20587599,20,1,0.05
500,20,341631350,20,1,0.05
500,20,385634291,20,1,0.05
500,20,546206616,20,1,0.05
500,50,11225014,20,20,1.0
500,50,114619105,20,20,1.0
500,50,130688011,20,20,1.0
500,50,138754790,20,20,1.0
500,50,150954997,20,20,1.0
500,50,156018,20,20,1.0
500,50,16563587,20,20,1.0
500,50,166515022,20,20,1.0
500,50,17165658,20,20,1.0
500,50,190416463,20,20,1.0
500,50,197814629,20,20,1.0
500,50,19961085,20,20,1.0
500,50,208728772,20,20,1.0
500,50,23096959,20,20,1.0
500,50,23357588,20,20,1.0
500,50,268163609,20,20,1.0
500,50,302827809,20,20,1.0
500,50,334274271,20,20,1.0
500,50,351806852,20,20,1.0
500,50,358917318,20,20,1.0
500,50,3786237,20,20,1.0
500,50,388946490,20,20,1.0
500,50,41986369,20,20,1.0
500,50,453068084,20,20,1.0
500,50,480217156,20,20,1.0
500,50,49876476,20,20,1.0
500,50,507775,20,20,1.0
500,50,51905353,20,20,1.0
500,50,52855516,20,20,1.0
500,50,60246359,20,20,1.0
500,50,619008516,20,20,1.0
500,50,6358188,20,20,1.0
500,50,6838921,20,20,1.0
500,50,6934395,20,20,1.0
500,50,927442,20,20,1.0
500,50,105944401,20,19,0.95
500,50,20300177,20,19,0.95
500,50,385634291,20,19,0.95
500,50,75425073,20,19,0.95
500,50,11008207,20,18,0.9
500,50,546206616,20,18,0.9
500,50,9342529,20,17,0.85
500,50,341631350,20,16,0.8
500,50,30449481,20,15,0.75
500,50,422821402,20,15,0.75
500,50,911980,20,15,0.75
500,50,20587599,20,13,0.65
500,50,5349565,20,11,0.55
500,50,11695619,20,10,0.5
500,50,660776503,20,10,0.5
500,50,357707809,20,9,0.45
500,50,198683574,20,8,0.4
500,50,95614931,20,7,0.35
500,50,7437073,20,5,0.25
500,50,99919302,20,5,0.25
500,50,48833910,20,4,0.2
500,50,510607652,20,4,0.2
500,50,34533675,20,3,0.15
500,50,496817075,20,3,0.15
500,50,724712,20,3,0.15
500,50,77385607,20,3,0.15
500,50,44781140,20,2,0.1
500,50,542714,20,2,0.1
500,50,95817032,20,2,0.1
500,50,125824259,20,1,0.05
500,50,13124802,20,1,0.05
500,50,206417,20,1,0.05
500,50,339993112,20,1,0.05
500,50,396856161,20,1,0.05
500,50,49412556,20,1,0.05
1000,10,11225014,20,20,1.0
1000,10,138754790,20,20,1.0
1000,10,16563587,20,20,1.0
1000,10,17165658,20,20,1.0
1000,10,334274271,20,20,1.0
1000,10,453068084,20,20,1.0
1000,10,60246359,20,20,1.0
1000,10,507775,20,17,0.85
1000,10,358917318,20,16,0.8
1000,10,166515022,20,11,0.55
1000,10,197814629,20,7,0.35
1000,10,6838921,20,7,0.35
