project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share,in_degree,in_strength,target_coverage,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,in_lcc
41986369,pingcap/tidb,"Key-value,Relational",589136,138919,1164,379406,69647,0.2358012411395671,0.7641987588604329,0.6440041009206703,8743,92603,574356,10.591673338670937,6.202347656123452,8.314852840520192,143,1164,7,178,136,986,143,0.04735123581440937,0.12628865979381443,3.0,190.0,0.01020408163265306,145.0,1354.0,0.008141762452107279,0.030929798579931445,True
16563587,cockroachdb/cockroach,Relational,606313,384465,4236,191789,25823,0.6341031777316337,0.3658968222683663,0.3163201184866562,22349,84220,368283,3.768401270750369,4.372868677273806,9.894592744695414,263,4236,6,116,257,4120,263,0.10246239124871484,0.26392823418319167,11.0,21.0,0.03741496598639456,272.0,4257.0,0.0032287822878228783,0.07153680591179398,True
99919302,apache/doris,Relational,51969,20450,180,30127,1212,0.3935038195847524,0.6064961804152476,0.5797109815466913,12257,19470,35661,1.5884800522150608,1.8315870570107855,6.3874058863791925,69,180,5,7,64,173,69,0.05666666666666667,0.18888888888888888,2.0,2.0,0.006802721088435374,71.0,182.0,0.022132796780684104,0.019137415849521156,True
507775,elastic/elasticsearch,"Document,Search Engine",52821,32474,1347,9563,9437,0.6147933587020313,0.3852066412979686,0.1810454175422653,9509,21470,33851,2.257860973814281,1.5766651141127157,13.88911704312115,146,1347,6,130,140,1217,146,0.2763208295373313,0.5003711952487008,13.0,721.0,0.04421768707482993,157.0,2068.0,0.0067777233382328925,0.05932378299550273,True
60246359,ClickHouse/ClickHouse,Relational,76637,52511,916,15884,7326,0.6851912261701267,0.3148087738298733,0.2072628103918472,11877,24343,49296,2.049591647722489,2.0250585383888597,7.575633127994524,352,916,18,48,334,868,352,0.012623710455559583,0.07423580786026202,16.0,170.0,0.05442176870748299,359.0,1086.0,0.0023653537915687586,0.10960366161135374,True
334274271,opensearch-project/OpenSearch,Search Engine,172263,61955,43574,49867,16867,0.3596535529974515,0.6403464470025484,0.2894817807654574,5936,37269,143305,6.278470350404312,3.845152807963723,2.915811088295688,305,43574,6,253,299,43321,305,0.042284570424257366,0.04996098590902832,4.0,21.0,0.013605442176870748,307.0,43595.0,0.0016393093610951438,0.09006539252799022,True
17165658,apache/spark,Relational,53996,13871,1850,15677,22598,0.2568893992147567,0.7431106007852434,0.2903363212089784,4861,16867,31102,3.469862168278132,1.843955653050335,9.842573579739904,303,1850,8,72,295,1778,303,0.01312081811541271,0.04756756756756757,12.0,384.0,0.04081632653061224,310.0,2234.0,0.003925253157949681,0.07980606523698927,True
208728772,milvus-io/milvus,Vector,101178,28485,434,50096,22163,0.2815335349581925,0.7184664650418076,0.4951273992369883,7112,36732,91030,5.164791901012373,2.4782206250680607,4.287474332648871,115,434,3,10,112,424,115,0.03567712204548833,0.12903225806451613,3.0,3.0,0.01020408163265306,117.0,437.0,0.004273504273504274,0.03199462760082879,True
388946490,facebookincubator/velox,Relational,52642,13649,4445,18185,16363,0.2592796626267999,0.7407203373732001,0.3454466015728886,4426,26389,35499,5.962268413917759,1.3452195990753724,2.43668720054757,118,4445,9,591,109,3854,118,0.04783357648347949,0.13363329583802025,6.0,303.0,0.02040816326530612,121.0,4748.0,0.01115702479338843,0.03033796693921509,True
166515022,trinodb/trino,Relational,16529,6986,1451,1991,6101,0.4226510980700587,0.5773489019299413,0.1204549579526892,3723,10634,15866,2.8562986838571045,1.492006770735377,4.944558521560575,181,1451,14,90,167,1361,181,0.33933630695530226,0.5761543762922122,13.0,189.0,0.04421768707482993,186.0,1640.0,0.00976460331299041,0.050084891227327594,True
453068084,risingwavelabs/risingwave,Relational,156566,75609,2032,55360,23565,0.4829209406895494,0.5170790593104505,0.3535889018049896,6420,14400,59448,2.2429906542056077,4.128333333333333,1.919233401779603,316,2032,13,61,303,1971,316,0.028831995163990327,0.0984251968503937,3.0,5.0,0.01020408163265306,317.0,2037.0,0.0029948488599608673,0.07643478088392737,True
114187903,apple/foundationdb,"Key-value,Document",102071,36220,132,65378,341,0.3548510350638281,0.6451489649361719,0.6405149356820252,2073,33070,99485,15.952725518572118,3.0083156939824613,6.042436687200548,26,132,1,1,25,131,26,0.2224517906336088,0.4318181818181818,11.0,15.0,0.03741496598639456,37.0,147.0,0.04504504504504504,0.004860159407158973,True
339993112,matrixorigin/matrixone,Relational,27160,14027,194,3284,9655,0.516458026509573,0.4835419734904271,0.1209131075110456,4845,9479,15838,1.9564499484004128,1.6708513556282307,2.861054072553046,47,194,2,3,45,191,47,0.04750770538845787,0.09278350515463918,0.0,0.0,0.0,47.0,194.0,0.004625346901017576,0.005826470662989878,True
358917318,apache/arrow-datafusion,Relational,26550,12022,1362,3588,9578,0.4528060263653484,0.5471939736346516,0.1351412429378531,3508,11328,21826,3.229190421892816,1.9267302259887005,2.702258726899384,179,1362,15,76,164,1286,179,0.09497564478254965,0.27973568281938327,7.0,87.0,0.023809523809523808,181.0,1449.0,0.010067526089625536,0.05533180790318656,True
20587599,apache/flink,Relational,16919,4840,298,3024,8757,0.2860689166026361,0.7139310833973639,0.1787339677285891,2577,9561,15551,3.710128055878929,1.6265035038175923,9.56331279945243,86,298,6,25,80,273,86,0.04722760236025404,0.1644295302013423,5.0,24.0,0.017006802721088437,90.0,322.0,0.015730337078651686,0.02174402426460584,True
3786237,hazelcast/hazelcast,Key-value,41467,10776,5000,23624,2067,0.2598692936551957,0.7401307063448043,0.5697060313019991,2691,9288,25790,3.451505016722408,2.7767011197243754,11.775496235455169,140,5000,3,71,137,4929,140,0.05703167999999999,0.1714,2.0,17.0,0.006802721088435374,142.0,5017.0,0.0033962641094795725,0.02607465260073048,True
302827809,datafuselabs/databend,Relational,46388,12652,410,24609,8717,0.2727429507631284,0.7272570492368716,0.5305035785116841,4201,9527,17759,2.267793382527969,1.864070536370316,3.2197125256673518,124,410,4,9,120,401,124,0.05321832242712672,0.1878048780487805,6.0,8.0,0.02040816326530612,127.0,418.0,0.010498687664041995,0.030717389584709695,True
351806852,neondatabase/neon,"Object Oriented,Relational",67265,33235,1802,29632,2596,0.4940905374265963,0.5059094625734037,0.4405262766669144,2603,6180,26469,2.374183634268152,4.283009708737864,2.7624914442162902,138,1802,3,21,135,1781,138,0.16697010720607633,0.37735849056603776,0.0,0.0,0.0,138.0,1802.0,0.000952078705172961,0.029586381327627143,True
49876476,apache/shardingsphere,Relational,18318,8577,240,6997,2504,0.4682279724860793,0.5317720275139207,0.3819740146304182,4394,7163,13811,1.6301775147928994,1.928102750244311,7.94798083504449,118,240,4,20,114,220,118,0.01833333333333333,0.06666666666666667,0.0,0.0,0.0,118.0,240.0,0.0,0.022544203311047843,True
