metric,n,mean,median,std,min,q25,q75,max,skew,kurtosis
total_reference_records,294,12748.156462585033,874.5,52933.12647146109,4.0,88.75,6102.5,606313.0,9.525586885297848,101.6305641122772
self_reference_ratio,294,0.4182140583339334,0.39470115950274465,0.2389133570514895,0.0,0.25748696506776747,0.590627010326731,1.0,0.32622383291026485,-0.45340525137488674
external_reference_share,294,0.5817859416660666,0.6052988404972554,0.23891335705148953,0.0,0.409372989673269,0.7425130349322325,1.0,-0.326223832910264,-0.45340525137488763
non_project_reference_share,294,0.33082537513762816,0.26685074254336705,0.2472077978003425,0.0,0.14360119047619047,0.46153846153846156,0.9936238044633369,0.921990114551923,0.10933255546220044
active_issue_pr_count,294,739.9183673469388,85.5,2025.6475423946813,0.0,15.0,566.0,22349.0,6.253823898740858,51.98617191839453
comment_per_issue,294,2.0790073268355256,1.718070652173913,1.6589142937895311,0.0,1.3948979510547446,2.161646110056926,15.952725518572118,5.36479151612981,36.590649058184965
comment_reference_density,294,2.695287488845773,1.7026388740169658,3.580593847236898,0.0,1.3992554754273505,2.488787652336242,34.62385321100918,5.435804618677174,37.10819575337014
project_age_years_at_2023_end,291,6.504352571204114,6.535249828884326,3.967994098467271,0.09856262833675565,2.8487337440109513,9.587953456536619,14.954140999315538,0.20941157431829513,-0.9969490659566231
