source_project_id,target_project_id,weight,multiplicity,is_self_loop,source_is_seed,target_is_seed
11008207,181939935,1,1,False,True,False
11008207,18369373,1,1,False,True,False
11008207,18906266,1,1,False,True,False
11008207,190416463,2,2,False,True,False
11008207,192925833,3,3,False,True,False
11008207,19582982,4,4,False,True,False
11008207,197658090,2,2,False,True,False
11008207,197814629,1,1,False,True,False
11008207,20300177,1,1,False,True,False
11008207,204020546,1,1,False,True,False
11008207,204033634,1,1,False,True,False
11008207,204253808,1,1,False,True,False
11008207,213717832,1,1,False,True,False
11008207,219061541,8,8,False,True,False
11008207,225690537,803,803,False,True,False
11008207,23096959,147,147,False,True,False
11008207,235822784,1,1,False,True,False
11008207,23664475,4,4,False,True,False
11008207,24494032,1,1,False,True,True
11008207,24560307,1,1,False,True,False
11008207,25299152,1,1,False,True,False
11008207,2560988,2,2,False,True,False
11008207,257485422,117,117,False,True,False
11008207,2606873,2,2,False,True,False
11008207,26983101,1,1,False,True,False
11008207,27146054,1,1,False,True,False
11008207,27358084,1,1,False,True,False
11008207,27522241,1,1,False,True,False
11008207,27522271,231,231,False,True,False
11008207,27522295,1,1,False,True,False
11008207,2755696,2,2,False,True,False
11008207,276685482,785,785,False,True,False
11008207,27729907,4,4,False,True,False
11008207,284165134,5,5,False,True,False
11008207,2871998,2,2,False,True,False
11008207,298726683,1,1,False,True,False
11008207,303762301,2,2,False,True,False
11008207,30753733,1,1,False,True,True
11008207,31629751,7,7,False,True,False
11008207,316803297,1,1,False,True,False
11008207,317234849,1,1,False,True,False
11008207,32741886,12,12,False,True,False
11008207,346425226,6,6,False,True,False
11008207,348444625,7,7,False,True,False
11008207,3655872,2,2,False,True,False
11008207,367429065,1,1,False,True,False
11008207,3678731,3,3,False,True,False
11008207,36891867,2,2,False,True,False
11008207,37334619,3,3,False,True,False
11008207,39468142,4,4,False,True,False
11008207,404143034,1,1,False,True,False
11008207,4164482,1,1,False,True,False
11008207,440346630,3,3,False,True,False
11008207,4463453,5,5,False,True,False
11008207,446597121,1,1,False,True,False
11008207,455590766,1,1,False,True,False
11008207,474191681,1,1,False,True,False
11008207,486278040,5,5,False,True,False
11008207,506613299,2,2,False,True,False
11008207,508434677,1,1,False,True,False
11008207,519003926,3,3,False,True,False
11008207,52034309,1,1,False,True,False
11008207,52037627,7,7,False,True,False
11008207,523767396,1,1,False,True,False
11008207,527483772,2,2,False,True,False
11008207,561282323,1,1,False,True,False
11008207,623797735,1,1,False,True,False
11008207,630002417,1,1,False,True,False
11008207,63537249,3,3,False,True,False
11008207,635979215,4,4,False,True,False
11008207,662528645,1,1,False,True,False
11008207,664452562,1,1,False,True,False
11008207,677038657,1,1,False,True,False
11008207,680783453,1,1,False,True,False
11008207,712656763,1,1,False,True,False
11008207,713825427,1,1,False,True,False
11008207,75190736,1,1,False,True,False
11008207,7823926,1,1,False,True,False
11008207,81712364,2,2,False,True,False
11008207,8507859,14,14,False,True,False
11008207,90438444,1,1,False,True,False
11008207,99618772,5,5,False,True,False
111333972,111333972,6,6,True,True,True
11225014,10166531,4,4,False,True,False
11225014,10319059,1,1,False,True,False
11225014,10320116,2,2,False,True,False
11225014,106192858,2,2,False,True,False
11225014,10835647,2,2,False,True,False
11225014,111431261,1,1,False,True,False
11225014,11208890,1,1,False,True,False
11225014,11225014,5438,5438,True,True,True
11225014,113089820,2,2,False,True,False
11225014,11597120,1,1,False,True,False
11225014,11676453,3,3,False,True,False
11225014,12574344,2,2,False,True,False
11225014,126215645,7,7,False,True,False
11225014,132145189,4,4,False,True,False
11225014,132232698,1,1,False,True,False
11225014,13624859,2,2,False,True,False
11225014,13628513,2,2,False,True,False
11225014,137247827,3,3,False,True,False
11225014,138105554,6,6,False,True,False
11225014,138717670,6,6,False,True,False
11225014,14008364,1,1,False,True,False
11225014,154744163,2,2,False,True,False
11225014,155749886,1,1,False,True,False
11225014,155858802,1,1,False,True,False
11225014,159005377,2,2,False,True,False
11225014,161843366,1,1,False,True,False
11225014,164008820,51,51,False,True,False
11225014,165092572,1,1,False,True,False
11225014,16563587,5,5,False,True,True
11225014,16907502,3,3,False,True,False
11225014,17192780,1,1,False,True,False
11225014,172142138,2,2,False,True,False
11225014,1725199,1,1,False,True,False
11225014,175458368,2,2,False,True,False
11225014,1759835,1,1,False,True,False
11225014,177727591,9,9,False,True,False
11225014,178381879,1,1,False,True,False
11225014,180481986,1,1,False,True,False
11225014,18314451,4,4,False,True,False
11225014,18369373,1,1,False,True,False
11225014,184286875,1,1,False,True,False
11225014,186022916,9,9,False,True,False
11225014,187086161,122,122,False,True,False
11225014,190416463,1,1,False,True,False
11225014,19138780,2,2,False,True,False
11225014,192624594,18,18,False,True,False
11225014,192625955,21,21,False,True,False
11225014,192768713,1,1,False,True,False
11225014,19608522,3,3,False,True,False
11225014,197814629,72,72,False,True,False
11225014,199703788,1,1,False,True,False
11225014,205262760,3,3,False,True,False
11225014,20580498,45,45,False,True,False
11225014,20831114,1,1,False,True,False
11225014,208728772,1,1,False,True,True
