source_project_id,target_project_id,src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,event_id,event_type,event_time,relation_label_repr,source_evidence_file
41986369,339993533,PRRC_41986369#40008#r1060337280,PullRequestReviewComment,,GitHub_Files_FileChanges,26189859876,PullRequestReviewCommentEvent,2023-01-03 07:48:03,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40121#r1061103770,PullRequestReviewComment,,GitHub_Files_FileChanges,26208819739,PullRequestReviewCommentEvent,2023-01-04 03:06:34,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40828#r1090153095,PullRequestReviewComment,,GitHub_Files_FileChanges,26730600414,PullRequestReviewCommentEvent,2023-01-30 03:54:27,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40828#r1090209189,PullRequestReviewComment,,GitHub_Files_FileChanges,26732302664,PullRequestReviewCommentEvent,2023-01-30 06:14:21,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40347#r1062370353,PullRequestReviewComment,I_41986369#40348,Issue,26240875623,PullRequestReviewCommentEvent,2023-01-05 11:22:36,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40553#r1069046268,PullRequestReviewComment,C_41986369@19ed9f57f3223cf501acbbc9291af45c9b7dcf41,Commit,26405749452,PullRequestReviewCommentEvent,2023-01-13 07:48:47,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40553#r1069110740,PullRequestReviewComment,,GitHub_Files_FileChanges,26407084295,PullRequestReviewCommentEvent,2023-01-13 09:01:55,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40553#r1069121759,PullRequestReviewComment,C_41986369@f0a4c4f69fddd5602abb0dd44bccbcedb77c8976,Commit,26407325684,PullRequestReviewCommentEvent,2023-01-13 09:13:24,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40553#r1069184500,PullRequestReviewComment,C_41986369@5271a7d617447ba7364fa62bd3ad3c172e8738e2,Commit,26408553594,PullRequestReviewCommentEvent,2023-01-13 10:11:54,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40232#r1063150432,PullRequestReviewComment,C_41986369@66f141fb14ebd030f35fa57c8fb9addd522a3e25,Commit,26259690625,PullRequestReviewCommentEvent,2023-01-06 06:11:43,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40232#r1063220295,PullRequestReviewComment,C_41986369@5a55279a22f27f01f91609e17cf7ac8e357f5396,Commit,26261262063,PullRequestReviewCommentEvent,2023-01-06 08:05:19,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40232#r1064258672,PullRequestReviewComment,I_41986369#40400,Issue,26297521758,PullRequestReviewCommentEvent,2023-01-09 03:11:31,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40278#r1065423631,PullRequestReviewComment,,GitHub_Files_FileChanges,26326929741,PullRequestReviewCommentEvent,2023-01-10 07:38:08,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,PRRC_41986369#40443#r1065451051,PullRequestReviewComment,C_41986369@cd6e96ec7d2d39a27f5b844854a109dadfe7d349,Commit,26327496840,PullRequestReviewCommentEvent,2023-01-10 08:11:14,PullRequestReviewComment_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
