label_mode,feature,category,n,mean,median,std
include_mixed,self_reference_ratio,Document,79,0.4516458879744897,0.4444444444444444,0.2527232456541946
include_mixed,self_reference_ratio,Graph,26,0.41911538260659315,0.3987835807022221,0.17486073739742666
include_mixed,self_reference_ratio,Key-value,76,0.38262711544067846,0.375,0.22004008513019876
include_mixed,self_reference_ratio,Object Oriented,19,0.49875795969683934,0.4940905374265963,0.2929837248966809
include_mixed,self_reference_ratio,RDF,8,0.42308653051078265,0.41411530143281966,0.1673499024826768
include_mixed,self_reference_ratio,Relational,100,0.41211053590011526,0.40423728813559323,0.23933228780577628
include_mixed,self_reference_ratio,Search Engine,9,0.45020129064323655,0.3596535529974515,0.217166150338871
include_mixed,self_reference_ratio,Time Series,21,0.44275286701366684,0.4101694915254237,0.21385257565102822
include_mixed,self_reference_ratio,Vector,14,0.48285215774542045,0.45216219527134627,0.26508450401375994
include_mixed,self_reference_ratio,Wide column,11,0.45509430512848953,0.4257690592955863,0.19576433516057765
include_mixed,external_reference_share,Document,79,0.5483541120255102,0.5555555555555556,0.2527232456541946
include_mixed,external_reference_share,Graph,26,0.5808846173934069,0.6012164192977778,0.17486073739742666
include_mixed,external_reference_share,Key-value,76,0.6173728845593216,0.625,0.22004008513019876
include_mixed,external_reference_share,Object Oriented,19,0.5012420403031608,0.5059094625734037,0.29298372489668095
include_mixed,external_reference_share,RDF,8,0.5769134694892173,0.5858846985671803,0.1673499024826768
include_mixed,external_reference_share,Relational,100,0.5878894640998846,0.5957627118644068,0.23933228780577634
include_mixed,external_reference_share,Search Engine,9,0.5497987093567634,0.6403464470025484,0.217166150338871
include_mixed,external_reference_share,Time Series,21,0.5572471329863331,0.5898305084745763,0.21385257565102822
include_mixed,external_reference_share,Vector,14,0.5171478422545795,0.5478378047286536,0.26508450401375994
include_mixed,external_reference_share,Wide column,11,0.5449056948715104,0.5742309407044137,0.19576433516057765
include_mixed,non_project_reference_share,Document,79,0.28352039469783136,0.2,0.24568272296088453
include_mixed,non_project_reference_share,Graph,26,0.30625634360027976,0.31515215750251324,0.16821125336258352
include_mixed,non_project_reference_share,Key-value,76,0.33695802751445053,0.28053663475699553,0.2329649428307638
