seed_order,repo_id,repo_name,repo_name_used,activity_count,repo_created_at,category_label,evidence_filename,evidence_path,seed_boundary_reason
98,148087762,georgia-tech-db/eva,georgia-tech-db/eva,2673,2018-09-10T02:26:03Z,Relational,georgia-tech-db_eva_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/georgia-tech-db_eva_2023.csv,activity_threshold_and_frozen_evidence_available
99,396867188,ArcadeData/arcadedb,ArcadeData/arcadedb,2632,2021-08-16T16:01:29Z,"Key-value,Document,Graph,Time Series",ArcadeData_arcadedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ArcadeData_arcadedb_2023.csv,activity_threshold_and_frozen_evidence_available
100,456549280,ydb-platform/ydb,ydb-platform/ydb,2601,2022-02-07T14:52:36Z,"Relational,Document",ydb-platform_ydb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ydb-platform_ydb_2023.csv,activity_threshold_and_frozen_evidence_available
101,34533675,apache/sedona,apache/sedona,2488,2015-04-24T18:01:29Z,Spatial,apache_sedona_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_sedona_2023.csv,activity_threshold_and_frozen_evidence_available
102,79317191,typesense/typesense,typesense/typesense,2471,2017-01-18T08:01:47Z,Search Engine,typesense_typesense_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/typesense_typesense_2023.csv,activity_threshold_and_frozen_evidence_available
103,125824259,xtdb/xtdb,xtdb/xtdb,2462,2018-03-19T08:19:27Z,Document,xtdb_xtdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/xtdb_xtdb_2023.csv,activity_threshold_and_frozen_evidence_available
104,87414843,hyrise/hyrise,hyrise/hyrise,2443,2017-04-06T10:03:31Z,Relational,hyrise_hyrise_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/hyrise_hyrise_2023.csv,activity_threshold_and_frozen_evidence_available
105,678214856,timeplus-io/proton,timeplus-io/proton,2302,2023-08-14T03:11:43Z,Relational,timeplus-io_proton_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/timeplus-io_proton_2023.csv,activity_threshold_and_frozen_evidence_available
106,644742603,cloudberrydb/cloudberrydb,cloudberrydb/cloudberrydb,2301,2023-05-24T06:58:16Z,"Object Oriented,Relational",cloudberrydb_cloudberrydb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cloudberrydb_cloudberrydb_2023.csv,activity_threshold_and_frozen_evidence_available
107,47973088,gchq/Gaffer,gchq/Gaffer,2271,2015-12-14T12:12:39Z,Graph,gchq_Gaffer_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/gchq_Gaffer_2023.csv,activity_threshold_and_frozen_evidence_available
108,305513242,fluree/db,fluree/db,2240,2020-10-19T21:06:38Z,"Graph,Relational,Document,RDF",fluree_db_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/fluree_db_2023.csv,activity_threshold_and_frozen_evidence_available
109,66783145,couchbase/couchbase-lite-core,couchbase/couchbase-lite-core,2174,2016-08-28T18:07:47Z,"Document,Key-value",couchbase_couchbase-lite-core_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/couchbase_couchbase-lite-core_2023.csv,activity_threshold_and_frozen_evidence_available
110,84458512,RedisGraph/RedisGraph,RedisGraph/RedisGraph,2100,2017-03-09T15:37:25Z,Graph,RedisGraph_RedisGraph_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/RedisGraph_RedisGraph_2023.csv,activity_threshold_and_frozen_evidence_available
111,442441933,mabel-dev/opteryx,mabel-dev/opteryx,1979,2021-12-28T11:27:22Z,"Object Oriented,Relational",mabel-dev_opteryx_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mabel-dev_opteryx_2023.csv,activity_threshold_and_frozen_evidence_available
112,7437073,apache/jena,apache/jena,1961,2013-01-04T08:00:32Z,RDF,apache_jena_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_jena_2023.csv,activity_threshold_and_frozen_evidence_available
113,13124802,influxdata/influxdb,influxdata/influxdb,1788,2013-09-26T14:31:10Z,"Wide column,Time Series",influxdata_influxdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/influxdata_influxdb_2023.csv,activity_threshold_and_frozen_evidence_available
114,507829396,openGemini/openGemini,openGemini/openGemini,1753,2022-06-27T08:41:54Z,"Relational,Time Series",openGemini_openGemini_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/openGemini_openGemini_2023.csv,activity_threshold_and_frozen_evidence_available
115,6650539,neo4j/neo4j,neo4j/neo4j,1697,2012-11-12T08:46:15Z,Graph,neo4j_neo4j_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/neo4j_neo4j_2023.csv,activity_threshold_and_frozen_evidence_available
116,473235285,polarsignals/frostdb,polarsignals/frostdb,1678,2022-03-23T14:55:52Z,Wide column,polarsignals_frostdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/polarsignals_frostdb_2023.csv,activity_threshold_and_frozen_evidence_available
117,528766495,TuGraph-family/tugraph-db,TuGraph-family/tugraph-db,1625,2022-08-25T08:46:43Z,Graph,TuGraph-family_tugraph-db_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/TuGraph-family_tugraph-db_2023.csv,activity_threshold_and_frozen_evidence_available
118,660776503,paradedb/paradedb,paradedb/paradedb,1604,2023-06-30T20:21:47Z,"Object Oriented,Relational",paradedb_paradedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/paradedb_paradedb_2023.csv,activity_threshold_and_frozen_evidence_available
119,170496871,gridgain/gridgain,gridgain/gridgain,1541,2019-02-13T11:31:35Z,Columnar,gridgain_gridgain_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/gridgain_gridgain_2023.csv,activity_threshold_and_frozen_evidence_available
120,49670957,eclipse/rdf4j,eclipse/rdf4j,1501,2016-01-14T19:47:32Z,RDF,eclipse_rdf4j_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/eclipse_rdf4j_2023.csv,activity_threshold_and_frozen_evidence_available
121,574588439,ytsaurus/ytsaurus,ytsaurus/ytsaurus,1450,2022-12-05T16:32:05Z,Document,ytsaurus_ytsaurus_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ytsaurus_ytsaurus_2023.csv,activity_threshold_and_frozen_evidence_available
122,291675222,hstreamdb/hstream,hstreamdb/hstream,1416,2020-08-31T09:42:17Z,Relational,hstreamdb_hstream_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/hstreamdb_hstream_2023.csv,activity_threshold_and_frozen_evidence_available
123,385356389,vmware/splinterdb,vmware/splinterdb,1368,2021-07-12T19:10:28Z,Key-value,vmware_splinterdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/vmware_splinterdb_2023.csv,activity_threshold_and_frozen_evidence_available
124,160999,apache/zookeeper,apache/zookeeper,1350,2009-03-27T15:41:56Z,Hierarchical,apache_zookeeper_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_zookeeper_2023.csv,activity_threshold_and_frozen_evidence_available
125,33745913,h2database/h2database,h2database/h2database,1330,2015-04-10T19:09:09Z,Relational,h2database_h2database_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/h2database_h2database_2023.csv,activity_threshold_and_frozen_evidence_available
126,65259211,xap/xap,xap/xap,1308,,Key-value,xap_xap_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/xap_xap_2023.csv,activity_threshold_and_frozen_evidence_available
127,30753733,percona/percona-server,percona/percona-server,1273,2015-02-13T11:32:01Z,Relational,percona_percona-server_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/percona_percona-server_2023.csv,activity_threshold_and_frozen_evidence_available
128,661663226,maxnowack/signaldb,maxnowack/signaldb,1257,2023-07-03T11:21:29Z,Document,maxnowack_signaldb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/maxnowack_signaldb_2023.csv,activity_threshold_and_frozen_evidence_available
129,67904342,Expensify/Bedrock,Expensify/Bedrock,1230,2016-09-11T01:55:45Z,Relational,Expensify_Bedrock_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/Expensify_Bedrock_2023.csv,activity_threshold_and_frozen_evidence_available
130,184981,memcached/memcached,memcached/memcached,1208,2009-04-24T23:34:25Z,Key-value,memcached_memcached_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/memcached_memcached_2023.csv,activity_threshold_and_frozen_evidence_available
131,323389945,logicalclocks/rondb,logicalclocks/rondb,1199,2020-12-21T16:25:57Z,"Relational,Key-value",logicalclocks_rondb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/logicalclocks_rondb_2023.csv,activity_threshold_and_frozen_evidence_available
132,198466472,terminusdb/terminusdb,terminusdb/terminusdb,1196,2019-07-23T16:15:27Z,"Graph,Document,RDF",terminusdb_terminusdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/terminusdb_terminusdb_2023.csv,activity_threshold_and_frozen_evidence_available
133,23247808,rqlite/rqlite,rqlite/rqlite,1178,2014-08-23T04:31:18Z,Relational,rqlite_rqlite_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/rqlite_rqlite_2023.csv,activity_threshold_and_frozen_evidence_available
134,80087836,dgraph-io/badger,dgraph-io/badger,1165,2017-01-26T05:09:49Z,Key-value,dgraph-io_badger_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/dgraph-io_badger_2023.csv,activity_threshold_and_frozen_evidence_available
135,50594316,senx/warp10-platform,senx/warp10-platform,1067,2016-01-28T15:56:55Z,Time Series,senx_warp10-platform_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/senx_warp10-platform_2023.csv,activity_threshold_and_frozen_evidence_available
136,150013328,cberner/redb,cberner/redb,1031,2018-09-23T18:30:14Z,Key-value,cberner_redb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cberner_redb_2023.csv,activity_threshold_and_frozen_evidence_available
137,714074,pouchdb/pouchdb,pouchdb/pouchdb,1015,2010-06-10T18:34:24Z,Document,pouchdb_pouchdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/pouchdb_pouchdb_2023.csv,activity_threshold_and_frozen_evidence_available
138,9595928,mirage/irmin,mirage/irmin,1005,2013-04-22T09:52:58Z,Document,mirage_irmin_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mirage_irmin_2023.csv,activity_threshold_and_frozen_evidence_available
139,543276238,libsql/libsql,libsql/libsql,973,2022-09-29T18:56:16Z,Relational,libsql_libsql_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/libsql_libsql_2023.csv,activity_threshold_and_frozen_evidence_available
140,510375115,splitgraph/seafowl,splitgraph/seafowl,966,2022-07-04T13:41:52Z,Relational,splitgraph_seafowl_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/splitgraph_seafowl_2023.csv,activity_threshold_and_frozen_evidence_available
141,168712350,Snapchat/KeyDB,Snapchat/KeyDB,929,2019-02-01T14:50:00Z,Key-value,Snapchat_KeyDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/Snapchat_KeyDB_2023.csv,activity_threshold_and_frozen_evidence_available
142,25780780,AlaSQL/alasql,AlaSQL/alasql,871,2014-10-26T16:30:37Z,"Relational,Document",AlaSQL_alasql_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/AlaSQL_alasql_2023.csv,activity_threshold_and_frozen_evidence_available
143,511030127,ceramicstudio/js-composedb,ceramicstudio/js-composedb,844,2022-07-06T07:15:37Z,Graph,ceramicstudio_js-composedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ceramicstudio_js-composedb_2023.csv,activity_threshold_and_frozen_evidence_available
144,5683653,apache/drill,apache/drill,794,2012-09-05T07:00:26Z,"Wide column,Document",apache_drill_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_drill_2023.csv,activity_threshold_and_frozen_evidence_available
145,4604367,sirixdb/sirix,sirixdb/sirix,750,2012-06-09T02:22:14Z,Document,sirixdb_sirix_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/sirixdb_sirix_2023.csv,activity_threshold_and_frozen_evidence_available
146,207663235,cmu-db/bustub,cmu-db/bustub,689,2019-09-10T21:06:59Z,Relational,cmu-db_bustub_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cmu-db_bustub_2023.csv,activity_threshold_and_frozen_evidence_available
147,23013460,lsst/qserv,lsst/qserv,677,2014-08-16T07:50:36Z,Relational,lsst_qserv_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/lsst_qserv_2023.csv,activity_threshold_and_frozen_evidence_available
148,39519916,percona/percona-server-mongodb,percona/percona-server-mongodb,627,2015-07-22T17:25:26Z,Document,percona_percona-server-mongodb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/percona_percona-server-mongodb_2023.csv,activity_threshold_and_frozen_evidence_available
149,17224514,ehcache/ehcache3,ehcache/ehcache3,621,2014-02-26T20:39:16Z,Key-value,ehcache_ehcache3_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ehcache_ehcache3_2023.csv,activity_threshold_and_frozen_evidence_available
150,31315021,Kinto/kinto,Kinto/kinto,606,2015-02-25T13:34:23Z,Document,Kinto_kinto_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/Kinto_kinto_2023.csv,activity_threshold_and_frozen_evidence_available
151,432844875,orioledb/orioledb,orioledb/orioledb,600,2021-11-28T22:57:49Z,"Object Oriented,Relational",orioledb_orioledb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/orioledb_orioledb_2023.csv,activity_threshold_and_frozen_evidence_available
152,606433492,chdb-io/chdb,chdb-io/chdb,591,2023-02-25T13:35:14Z,Relational,chdb-io_chdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/chdb-io_chdb_2023.csv,activity_threshold_and_frozen_evidence_available
153,3788366,openlink/virtuoso-opensource,openlink/virtuoso-opensource,586,2012-03-21T16:00:39Z,Document,openlink_virtuoso-opensource_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/openlink_virtuoso-opensource_2023.csv,activity_threshold_and_frozen_evidence_available
154,344711168,IceFireDB/IceFireDB,IceFireDB/IceFireDB,568,2021-03-05T06:03:29Z,Key-value,IceFireDB_IceFireDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/IceFireDB_IceFireDB_2023.csv,activity_threshold_and_frozen_evidence_available
155,551374215,cozodb/cozo,cozodb/cozo,493,2022-10-14T09:28:11Z,Relational,cozodb_cozo_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cozodb_cozo_2023.csv,activity_threshold_and_frozen_evidence_available
156,393235957,risinglightdb/risinglight,risinglightdb/risinglight,483,2021-08-06T03:26:03Z,Relational,risinglightdb_risinglight_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/risinglightdb_risinglight_2023.csv,activity_threshold_and_frozen_evidence_available
157,28738447,apache/kylin,apache/kylin,476,2015-01-03T08:00:05Z,"Key-value,Relational",apache_kylin_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_kylin_2023.csv,activity_threshold_and_frozen_evidence_available
158,91715647,gnocchixyz/gnocchi,gnocchixyz/gnocchi,475,2017-05-18T16:32:52Z,Relational,gnocchixyz_gnocchi_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/gnocchixyz_gnocchi_2023.csv,activity_threshold_and_frozen_evidence_available
159,125234630,danielealbano/cachegrand,danielealbano/cachegrand,472,2018-03-14T15:33:02Z,Key-value,danielealbano_cachegrand_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/danielealbano_cachegrand_2023.csv,activity_threshold_and_frozen_evidence_available
160,7502247,lealone/Lealone,lealone/Lealone,451,2013-01-08T13:57:08Z,Relational,lealone_Lealone_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/lealone_Lealone_2023.csv,activity_threshold_and_frozen_evidence_available
161,664816265,scratchdata/ScratchDB,scratchdata/ScratchDB,448,2023-07-10T20:15:01Z,Document,scratchdata_ScratchDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/scratchdata_ScratchDB_2023.csv,activity_threshold_and_frozen_evidence_available
162,316690542,MonetDB/MonetDB,MonetDB/MonetDB,438,2020-11-28T08:35:36Z,"Wide column,Relational",MonetDB_MonetDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/MonetDB_MonetDB_2023.csv,activity_threshold_and_frozen_evidence_available
163,92329433,canonical/dqlite,canonical/dqlite,436,2017-05-24T19:35:52Z,Relational,canonical_dqlite_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/canonical_dqlite_2023.csv,activity_threshold_and_frozen_evidence_available
164,79901405,objectbox/objectbox-java,objectbox/objectbox-java,430,2017-01-24T10:29:48Z,Object Oriented,objectbox_objectbox-java_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/objectbox_objectbox-java_2023.csv,activity_threshold_and_frozen_evidence_available
165,61153677,m3db/m3,m3db/m3,420,2016-06-14T20:29:45Z,"Relational,Time Series",m3db_m3_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/m3db_m3_2023.csv,activity_threshold_and_frozen_evidence_available
166,7083240,orientechnologies/orientdb,orientechnologies/orientdb,407,2012-12-09T20:33:47Z,"Key-value,Document,Graph,Object Oriented",orientechnologies_orientdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/orientechnologies_orientdb_2023.csv,activity_threshold_and_frozen_evidence_available
167,24494032,mysql/mysql-server,mysql/mysql-server,404,2014-09-26T09:31:03Z,Relational,mysql_mysql-server_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mysql_mysql-server_2023.csv,activity_threshold_and_frozen_evidence_available
168,664133375,epsilla-cloud/vectordb,epsilla-cloud/vectordb,386,2023-07-09T02:28:31Z,Array,epsilla-cloud_vectordb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/epsilla-cloud_vectordb_2023.csv,activity_threshold_and_frozen_evidence_available
169,195895847,hivedb/hive,hivedb/hive,382,2019-07-08T22:47:01Z,Key-value,hivedb_hive_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/hivedb_hive_2023.csv,activity_threshold_and_frozen_evidence_available
170,23315232,mbdavid/LiteDB,mbdavid/LiteDB,369,2014-08-25T13:49:30Z,Document,mbdavid_LiteDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mbdavid_LiteDB_2023.csv,activity_threshold_and_frozen_evidence_available
171,143253020,microsoft/FASTER,microsoft/FASTER,357,2018-08-02T06:38:41Z,Key-value,microsoft_FASTER_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/microsoft_FASTER_2023.csv,activity_threshold_and_frozen_evidence_available
172,441299511,reductstore/reductstore,reductstore/reductstore,339,2021-12-23T21:27:52Z,"Key-value,Time Series",reductstore_reductstore_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/reductstore_reductstore_2023.csv,activity_threshold_and_frozen_evidence_available
173,1374129,BaseXdb/basex,BaseXdb/basex,337,2011-02-16T15:02:14Z,"Document,Native XML",BaseXdb_basex_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/BaseXdb_basex_2023.csv,activity_threshold_and_frozen_evidence_available
174,534109388,EuclidOLAP/EuclidOLAP,EuclidOLAP/EuclidOLAP,319,,Array,EuclidOLAP_EuclidOLAP_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/EuclidOLAP_EuclidOLAP_2023.csv,activity_threshold_and_frozen_evidence_available
175,259542436,LineairDB/LineairDB,LineairDB/LineairDB,310,2020-04-28T05:41:20Z,Key-value,LineairDB_LineairDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/LineairDB_LineairDB_2023.csv,activity_threshold_and_frozen_evidence_available
176,45732002,jnidzwetzki/bboxdb,jnidzwetzki/bboxdb,303,2015-11-07T10:28:59Z,Array,jnidzwetzki_bboxdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/jnidzwetzki_bboxdb_2023.csv,activity_threshold_and_frozen_evidence_available
177,223462217,resilientdb/resilientdb,resilientdb/resilientdb,302,2019-11-22T18:28:12Z,Document,resilientdb_resilientdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/resilientdb_resilientdb_2023.csv,activity_threshold_and_frozen_evidence_available
178,108110,mongodb/mongo,mongodb/mongo,300,2009-01-15T16:15:18Z,Document,mongodb_mongo_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/mongodb_mongo_2023.csv,activity_threshold_and_frozen_evidence_available
179,266515876,armink/FlashDB,armink/FlashDB,298,2020-05-24T10:15:56Z,Key-value,armink_FlashDB_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/armink_FlashDB_2023.csv,activity_threshold_and_frozen_evidence_available
180,4407129,postgis/postgis,postgis/postgis,292,2012-05-22T13:31:25Z,Spatial,postgis_postgis_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/postgis_postgis_2023.csv,activity_threshold_and_frozen_evidence_available
181,606125384,paypal/junodb,paypal/junodb,287,2023-02-24T16:52:02Z,Key-value,paypal_junodb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/paypal_junodb_2023.csv,activity_threshold_and_frozen_evidence_available
182,298920362,oracle/nosql-java-sdk,oracle/nosql-java-sdk,285,2020-09-27T00:05:54Z,"Key-value,Document",oracle_nosql-java-sdk_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/oracle_nosql-java-sdk_2023.csv,activity_threshold_and_frozen_evidence_available
183,22475123,amark/gun,amark/gun,282,2014-07-31T15:52:10Z,Graph,amark_gun_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/amark_gun_2023.csv,activity_threshold_and_frozen_evidence_available
184,270858421,juji-io/datalevin,juji-io/datalevin,275,2020-06-08T23:53:52Z,Document,juji-io_datalevin_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/juji-io_datalevin_2023.csv,activity_threshold_and_frozen_evidence_available
185,454981666,streamnative/oxia,streamnative/oxia,269,2022-02-03T00:28:48Z,Key-value,streamnative_oxia_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/streamnative_oxia_2023.csv,activity_threshold_and_frozen_evidence_available
186,443220240,tinyplex/tinybase,tinyplex/tinybase,241,2021-12-31T01:06:00Z,Relational,tinyplex_tinybase_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/tinyplex_tinybase_2023.csv,activity_threshold_and_frozen_evidence_available
187,55072677,semi-technologies/weaviate,semi-technologies/weaviate,239,2016-03-30T15:03:17Z,Vector,semi-technologies_weaviate_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/semi-technologies_weaviate_2023.csv,activity_threshold_and_frozen_evidence_available
188,453191009,ostafen/clover,ostafen/clover,218,2022-01-28T19:25:23Z,Document,ostafen_clover_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ostafen_clover_2023.csv,activity_threshold_and_frozen_evidence_available
189,16189524,OpenNMS/newts,OpenNMS/newts,200,2014-01-23T23:39:27Z,Time Series,OpenNMS_newts_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/OpenNMS_newts_2023.csv,activity_threshold_and_frozen_evidence_available
190,19271154,JetBrains/xodus,JetBrains/xodus,199,2014-04-29T09:36:04Z,Document,JetBrains_xodus_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/JetBrains_xodus_2023.csv,activity_threshold_and_frozen_evidence_available
191,574694308,RhizomeDB/rs-rhizome,RhizomeDB/rs-rhizome,198,2022-12-05T21:55:16Z,Relational,RhizomeDB_rs-rhizome_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/RhizomeDB_rs-rhizome_2023.csv,activity_threshold_and_frozen_evidence_available
192,23405758,google/leveldb,google/leveldb,187,2014-08-27T21:17:52Z,Key-value,google_leveldb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/google_leveldb_2023.csv,activity_threshold_and_frozen_evidence_available
193,496505424,apache/incubator-horaedb,apache/incubator-horaedb,184,2022-05-26T06:22:14Z,Relational,apache_incubator-horaedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_incubator-horaedb_2023.csv,activity_threshold_and_frozen_evidence_available
194,21985130,OpenHFT/Chronicle-Map,OpenHFT/Chronicle-Map,181,2014-07-18T15:33:57Z,Key-value,OpenHFT_Chronicle-Map_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/OpenHFT_Chronicle-Map_2023.csv,activity_threshold_and_frozen_evidence_available
195,6452529,rethinkdb/rethinkdb,rethinkdb/rethinkdb,178,2012-10-30T05:37:47Z,Document,rethinkdb_rethinkdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/rethinkdb_rethinkdb_2023.csv,activity_threshold_and_frozen_evidence_available
