referencing_entity_type,count,share
IssueComment,1816696,0.48471621080065463
Push,1165990,0.3111000710253423
PullRequest,335530,0.08952341515032985
Issue,168876,0.045058135656802986
Release,96690,0.025798047897014856
PullRequestReview,72597,0.019369747473157384
PullRequestReviewComment,52761,0.014077265540328893
CommitComment,38818,0.010357106456369041
