project_id,node_role,edge_observed,zero_edge_seed
113678093,expanded_target_project,True,False
113678112,expanded_target_project,True,False
113678133,expanded_target_project,True,False
113678153,expanded_target_project,True,False
113678275,expanded_target_project,True,False
113678303,expanded_target_project,True,False
113678351,expanded_target_project,True,False
113678408,expanded_target_project,True,False
113678674,expanded_target_project,True,False
113678772,expanded_target_project,True,False
113678857,expanded_target_project,True,False
113678874,expanded_target_project,True,False
11369509,expanded_target_project,True,False
113701924,expanded_target_project,True,False
11380094,seed_project,True,False
11384368,expanded_target_project,True,False
113912678,expanded_target_project,True,False
113918130,expanded_target_project,True,False
11393110,expanded_target_project,True,False
114023960,expanded_target_project,True,False
11403699,expanded_target_project,True,False
11408729,expanded_target_project,True,False
114187903,seed_project,True,False
114312965,expanded_target_project,True,False
114363116,expanded_target_project,True,False
11445479,expanded_target_project,True,False
11452538,expanded_target_project,True,False
11452676,expanded_target_project,True,False
114577229,expanded_target_project,True,False
114619105,seed_project,True,False
114682244,expanded_target_project,True,False
114705574,expanded_target_project,True,False
114705611,expanded_target_project,True,False
114735865,expanded_target_project,True,False
11481074,expanded_target_project,True,False
11482978,expanded_target_project,True,False
11486644,expanded_target_project,True,False
1148753,expanded_target_project,True,False
114948816,expanded_target_project,True,False
115039706,expanded_target_project,True,False
115191628,expanded_target_project,True,False
115316912,expanded_target_project,True,False
115575640,expanded_target_project,True,False
115740402,expanded_target_project,True,False
115758461,expanded_target_project,True,False
115969499,expanded_target_project,True,False
11597120,expanded_target_project,True,False
11599760,expanded_target_project,True,False
116038660,expanded_target_project,True,False
11608365,expanded_target_project,True,False
116140523,expanded_target_project,True,False
116165188,expanded_target_project,True,False
116259506,expanded_target_project,True,False
11633363,expanded_target_project,True,False
116522453,seed_project,True,False
11654790,seed_project,True,False
116585275,expanded_target_project,True,False
116641240,expanded_target_project,True,False
116659368,expanded_target_project,True,False
11676453,expanded_target_project,True,False
116867981,expanded_target_project,True,False
116871310,expanded_target_project,True,False
116955501,expanded_target_project,True,False
11695619,seed_project,True,False
11696086,expanded_target_project,True,False
11696117,expanded_target_project,True,False
116995448,expanded_target_project,True,False
11708465,expanded_target_project,True,False
11726616,expanded_target_project,True,False
117380983,expanded_target_project,True,False
11749475,expanded_target_project,True,False
11753735,expanded_target_project,True,False
117701523,expanded_target_project,True,False
117906003,expanded_target_project,True,False
117965972,expanded_target_project,True,False
118105436,expanded_target_project,True,False
