k,top_k,project_id,run_count,inclusion_count,inclusion_frequency
250,10,16563587,20,20,1.0
250,10,17165658,20,20,1.0
250,10,334274271,20,20,1.0
250,10,453068084,20,20,1.0
250,10,60246359,20,20,1.0
250,10,11225014,20,19,0.95
250,10,138754790,20,19,0.95
250,10,507775,20,18,0.9
250,10,358917318,20,13,0.65
250,10,197814629,20,9,0.45
250,10,166515022,20,8,0.4
250,10,6838921,20,6,0.3
250,10,268163609,20,3,0.15
250,10,190416463,20,1,0.05
250,10,388946490,20,1,0.05
250,10,41986369,20,1,0.05
250,10,6934395,20,1,0.05
250,10,911980,20,1,0.05
250,20,11225014,20,20,1.0
250,20,138754790,20,20,1.0
250,20,16563587,20,20,1.0
250,20,166515022,20,20,1.0
250,20,17165658,20,20,1.0
250,20,197814629,20,20,1.0
250,20,334274271,20,20,1.0
250,20,358917318,20,20,1.0
250,20,453068084,20,20,1.0
250,20,507775,20,20,1.0
250,20,60246359,20,20,1.0
250,20,268163609,20,18,0.9
250,20,6838921,20,18,0.9
250,20,6934395,20,16,0.8
250,20,388946490,20,15,0.75
250,20,190416463,20,14,0.7
250,20,156018,20,12,0.6
250,20,41986369,20,12,0.6
250,20,480217156,20,8,0.4
250,20,130688011,20,7,0.35
250,20,208728772,20,7,0.35
250,20,302827809,20,7,0.35
250,20,49876476,20,7,0.35
250,20,619008516,20,6,0.3
250,20,351806852,20,5,0.25
250,20,3786237,20,4,0.2
250,20,75425073,20,4,0.2
250,20,911980,20,4,0.2
250,20,422821402,20,3,0.15
250,20,150954997,20,2,0.1
250,20,19961085,20,2,0.1
250,20,546206616,20,2,0.1
250,20,6358188,20,2,0.1
250,20,105944401,20,1,0.05
250,20,11008207,20,1,0.05
250,20,11695619,20,1,0.05
250,20,20587599,20,1,0.05
250,20,385634291,20,1,0.05
250,50,11225014,20,20,1.0
250,50,130688011,20,20,1.0
250,50,138754790,20,20,1.0
250,50,156018,20,20,1.0
250,50,16563587,20,20,1.0
250,50,166515022,20,20,1.0
250,50,17165658,20,20,1.0
250,50,190416463,20,20,1.0
250,50,197814629,20,20,1.0
250,50,208728772,20,20,1.0
250,50,23096959,20,20,1.0
250,50,23357588,20,20,1.0
250,50,268163609,20,20,1.0
250,50,334274271,20,20,1.0
250,50,358917318,20,20,1.0
250,50,41986369,20,20,1.0
250,50,453068084,20,20,1.0
250,50,480217156,20,20,1.0
250,50,49876476,20,20,1.0
250,50,507775,20,20,1.0
250,50,52855516,20,20,1.0
250,50,60246359,20,20,1.0
250,50,619008516,20,20,1.0
250,50,6838921,20,20,1.0
250,50,6934395,20,20,1.0
250,50,19961085,20,19,0.95
250,50,302827809,20,19,0.95
250,50,3786237,20,19,0.95
250,50,388946490,20,19,0.95
250,50,51905353,20,19,0.95
250,50,6358188,20,19,0.95
250,50,75425073,20,19,0.95
250,50,105944401,20,18,0.9
250,50,150954997,20,18,0.9
250,50,351806852,20,18,0.9
250,50,422821402,20,18,0.9
250,50,927442,20,18,0.9
250,50,11008207,20,17,0.85
250,50,114619105,20,17,0.85
250,50,385634291,20,16,0.8
250,50,546206616,20,15,0.75
250,50,911980,20,15,0.75
250,50,9342529,20,15,0.75
250,50,20300177,20,14,0.7
250,50,341631350,20,14,0.7
250,50,30449481,20,13,0.65
250,50,198683574,20,12,0.6
250,50,20587599,20,12,0.6
250,50,660776503,20,12,0.6
250,50,357707809,20,10,0.5
250,50,7437073,20,7,0.35
250,50,11695619,20,6,0.3
