node_u,node_v,weight,directed_edge_count
11225014,27522295,25,1
11225014,2755696,5,1
11225014,27729880,9,1
11225014,27729907,125,1
11225014,28352089,7,1
11225014,286108332,1,1
11225014,301573344,1,1
11225014,30828052,1,1
11225014,3168225,7,1
11225014,31792824,3,1
11225014,33352201,19,1
11225014,339993112,1,1
11225014,3698588,1,1
11225014,37326770,3,1
11225014,38744670,1,1
11225014,39907649,2,1
11225014,41349039,3,1
11225014,416231913,7,1
11225014,421101922,32,1
11225014,438518303,1,1
11225014,45226685,4,1
11225014,45446294,5,1
11225014,46089560,1,1
11225014,46394186,8,1
11225014,480217156,1,1
11225014,480401263,1,1
11225014,490359003,1,1
11225014,52034309,27,1
11225014,52300938,1,1
11225014,53311716,1,1
11225014,56420035,1,1
11225014,571342238,42,1
11225014,57333709,6,1
11225014,57912964,7,1
11225014,58821882,1,1
11225014,59526988,3,1
11225014,61567949,5,1
11225014,6247705,8,1
11225014,63375710,1,1
11225014,63749548,1,1
11225014,66737655,2,1
11225014,68964263,3,1
11225014,7004897,6,1
11225014,7083242,1,1
11225014,71823870,1,1
11225014,7691631,1,1
11225014,78234185,4,1
11225014,7823926,17,1
11225014,79188507,5,1
11225014,79954708,10,1
11225014,81355383,2,1
11225014,85069480,2,1
11225014,88674404,3,1
11225014,911980,2,1
11225014,92569428,1,1
11225014,93163073,7,1
11225014,94593596,97,2
11225014,95143992,1,1
11225014,96237042,12,1
11225014,96570421,2,1
11225909,334274271,19,1
11225909,3786237,2,1
11225909,77385607,7,1
11233996,20587599,1,1
11233996,3786237,111,1
1123727,114619105,2,1
1123727,158975124,10,1
1123727,166515022,1,1
1123727,77385607,52,1
1126087,20089857,129,1
1126087,99919302,1,1
112655189,16563587,1,1
112655189,41986369,2,1
11309795,341631350,6,1
11309795,542714,1,1
113100288,351806852,1,1
113100288,49412556,1,1
113100288,95614931,2,1
113106184,150954997,1,1
113106184,268163609,1,1
113677956,30449481,1,1
113677956,3786237,2,1
113677984,11695619,10,1
113677984,16189524,5,1
113677984,3786237,2,1
113677984,396867188,14,1
113677984,73235061,6,1
113677984,7437073,5,1
113677984,77385607,44,1
113678060,17165658,5,1
113678060,3786237,5,1
113678060,77385607,22,1
113678093,11695619,12,1
113678093,17165658,3,1
113678093,3786237,7,1
113678112,11695619,11,1
113678112,16189524,5,1
113678112,17165658,2,1
113678112,19961085,1,1
113678112,3786237,3,1
113678112,396867188,10,1
113678112,45732002,6,1
113678112,7437073,5,1
113678112,77385607,4,1
113678133,11695619,15,1
113678133,16189524,8,1
113678133,17165658,2,1
113678133,206686299,15,1
113678133,3786237,6,1
113678133,77385607,5,1
113678153,11695619,6,1
113678153,17165658,2,1
113678153,396867188,10,1
113678153,77385607,21,1
113678275,11695619,1,1
113678275,16189524,5,1
113678275,206686299,5,1
113678275,34533675,1,1
113678275,3786237,1,1
113678275,396867188,7,1
113678275,45732002,5,1
113678275,73235061,3,1
113678351,17165658,1,1
113678351,77385607,20,1
113678408,11695619,17,1
113678408,16189524,13,1
113678408,17165658,2,1
113678408,206686299,15,1
113678408,34533675,1,1
113678408,3786237,120,1
113678408,396867188,15,1
113678408,45732002,11,1
113678408,73235061,12,1
113678408,7437073,5,1
113678408,77385607,24,1
113678772,11695619,3,1
113678772,3786237,1,1
113678772,396867188,1,1
113678772,77385607,25,1
113678857,11695619,6,1
113678857,16189524,10,1
113678857,166515022,1,1
113678857,17165658,8,1
113678857,206686299,6,1
113678857,3786237,341,1
113678857,396867188,8,1
113678857,73235061,6,1
113678874,11695619,5,1
113678874,16189524,5,1
113678874,17165658,2,1
113678874,206686299,5,1
113678874,3786237,1,1
113678874,396867188,9,1
113678874,45732002,5,1
113678874,6358188,7,1
113678874,73235061,3,1
11380094,1362490,3,1
11380094,205564111,5,1
11380094,2410676,2,1
11403699,20089857,16,1
11403699,99919302,1,1
114187903,11939484,57,1
114187903,13124802,1,1
114187903,221993778,3,1
114187903,23096959,2,1
114187903,2328181,1,1
114187903,27522271,2,1
114187903,27522282,1,1
114187903,27522295,5,1
114187903,346976717,1,1
114187903,35440404,8,1
114187903,372536760,1,1
114187903,449924556,2,1
114187903,456549280,1,1
114187903,50594316,1,1
114187903,54980593,21,1
114187903,551374215,1,1
114187903,581145740,4,1
114187903,596892,4,1
114187903,606433492,1,1
114187903,619008516,2,1
114187903,660776503,1,1
114187903,678214856,1,1
114187903,75821432,1,1
114187903,90541149,1,1
11452538,150954997,1,1
11452538,385634291,44,1
11452538,6838921,4,1
114619105,129954828,16,1
114619105,13078968,1,1
114619105,13273703,1,1
114619105,141376301,5,1
114619105,147511063,4,1
114619105,158256479,8,1
114619105,159109434,1,1
114619105,166515022,4,1
114619105,167949879,1,1
114619105,1680733,1,1
114619105,17165658,102,2
114619105,173431969,2,1
114619105,177139928,4,1
114619105,18260583,31,1
114619105,182849188,12,1
114619105,189476904,2,1
114619105,192625525,3,1
114619105,196057608,1,1
114619105,197814629,1,1
114619105,200437066,4,1
114619105,20300177,6,1
114619105,2045207,4,1
114619105,205417,2,1
114619105,20580498,1,1
114619105,20587599,3,1
114619105,206317,1,1
114619105,206444,30,1
114619105,210029529,4,1
114619105,21099,2,1
114619105,22305416,6,1
114619105,23088740,81,1
114619105,241092383,6,1
114619105,257485422,5,1
114619105,2604249,1,1
114619105,2606873,1,1
114619105,27729926,1,1
114619105,287743349,2,1
114619105,288485773,5,1
114619105,288487894,1,1
114619105,2888818,4,1
114619105,310611,2,1
114619105,31933589,1,1
114619105,32538871,2,1
114619105,32741886,6,1
114619105,33753632,2,1
114619105,33884891,6,1
114619105,34685800,12,1
114619105,35697461,3,1
114619105,365244061,2,1
114619105,38829639,10,1
114619105,39464018,5,1
114619105,435375021,4,1
114619105,436912897,1,1
114619105,442405131,1,1
114619105,45423600,8,1
114619105,476372928,2,1
114619105,4950187,1,1
114619105,501687,1,1
114619105,50565430,1,1
114619105,50904245,1,1
114619105,51905353,3,1
114619105,52300938,2,1
114619105,537800,2,1
114619105,548730031,1,1
114619105,56353740,1,1
114619105,5695907,1,1
114619105,6207167,3,1
114619105,62117812,1,1
114619105,63044524,1,1
114619105,63749548,1,1
114619105,6742151,2,1
114619105,6818061,5,1
114619105,68181694,1,1
114619105,72700804,1,1
114619105,731515911,3,1
114619105,76474200,43,1
114619105,9283927,4,1
114619105,9290699,1,1
114619105,95084858,1,1
114705611,268163609,26,1
114705611,453068084,1,1
114705611,496817075,18,1
114735865,130688011,2,1
114735865,268163609,11,1
114735865,48833910,5,1
11481074,16563587,5,1
11481074,453068084,1,1
11486644,17165658,3,1
11486644,19961085,3,1
1148753,158975124,1,1
1148753,166515022,1,1
1148753,196353673,17,1
1148753,28738447,3,1
1148753,3786237,6,1
1148753,49670957,1,1
1148753,49876476,1,1
1148753,606125384,7,1
11599760,351806852,30,1
11599760,453068084,2,1
11599760,480217156,1,1
11599760,496817075,2,1
116140523,453068084,2,1
116140523,496817075,1,1
11654790,75425073,1,1
116641240,11695619,2,1
116641240,1374129,2,1
11695619,14281190,1,1
11695619,146575135,3,1
11695619,14696091,43,1
11695619,147511063,3,1
11695619,18128548,34,1
11695619,186765948,2,1
11695619,192625955,10,1
11695619,196057608,3,1
11695619,197814629,14,1
11695619,2045207,196,1
11695619,206339,4,1
11695619,206371,22,1
11695619,210029529,1,1
11695619,215566462,10,1
11695619,2752522,2,1
11695619,27954927,35,1
11695619,283187,4,1
11695619,288485773,10,1
11695619,29102367,55,1
11695619,298328,10,1
11695619,29923817,3,1
11695619,3037907,2,1
11695619,316556151,5,1
11695619,33745913,9,1
11695619,35698342,5,1
11695619,35700771,25,1
11695619,4950187,16,1
11695619,5663857,82,1
11695619,567634,12,1
11695619,60111626,38,1
11695619,6818061,6,1
11695619,7691631,1,1
11695619,832680,105,1
116995448,125234630,5,1
116995448,542714,1,1
117965972,302827809,5,1
117965972,99919302,1,1
118105436,41986369,2,1
118105436,453068084,3,1
118668940,543276238,1,1
118668940,546206616,1,1
1187853,3786237,3,1
1187853,396867188,1,1
1187853,45732002,14,1
1187853,60377070,3,1
1187853,77385607,15,1
1187853,8039659,2,1
11939484,20089857,36,1
11939484,351806852,28,1
11939484,50874442,17,1
11939484,56128733,3,1
11939484,60246359,4,1
119439276,158975124,11,1
119439276,25780780,1,1
119439276,385634291,3,1
120538653,13124802,4,1
120538653,358917318,94,1
120538653,442441933,90,1
120538653,453068084,9,1
120538653,480217156,2,1
