project_id,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,community_id
1099265,2,2.0,0.0,2.6693752545657317e-05,0
20653934,2,7.0,0.0,2.643620281194468e-05,2
230795797,2,2.0,0.0,2.588575097430744e-05,3
116641240,2,4.0,0.0,2.586636690048896e-05,4
316556151,2,9.0,0.0,2.586636690048896e-05,4
191817804,2,16.0,0.0,2.525276920406841e-05,8
363245888,3,14.0,0.3333333333333333,2.5233608019238683e-05,1
289034413,2,59.0,0.0,2.4893470898958973e-05,2
121663790,2,5.0,0.0,2.479628580890755e-05,3
782679,2,2.0,0.0,2.479628580890755e-05,3
22525984,4,14.0,0.0,2.453273273379505e-05,4
6765281,4,50.0,0.1666666666666666,2.4347096416696552e-05,4
160919119,2,4.0,0.0,2.3991726106974336e-05,15
2752522,2,4.0,0.0,2.393903171757284e-05,3
26459635,2,2.0,0.0,2.3572381624220916e-05,1
37290678,2,7.0,0.0,2.3572381624220916e-05,1
635979215,2,32.0,0.0,2.32287243534542e-05,2
19308738,2,28.0,0.0,2.3021206235151893e-05,4
177428838,3,23.0,0.0,2.2377289480140928e-05,1
33352201,3,40.0,0.0,2.1713716687078628e-05,2
411318591,3,5.0,0.6666666666666666,2.1688126821980936e-05,1
74106774,2,2.0,0.0,2.1688126821980936e-05,1
208060770,3,6.0,0.0,2.148001838609661e-05,1
10262364,3,21.0,0.0,2.1461277439552967e-05,4
135060366,2,7.0,0.0,2.143345587227977e-05,1
31986253,2,125.0,0.0,2.143345587227977e-05,1
42685794,2,27.0,0.0,2.143345587227977e-05,1
84983058,2,69.0,0.0,2.143345587227977e-05,1
89145566,2,44.0,0.0,2.143345587227977e-05,1
263442622,2,4.0,0.0,2.139162753808391e-05,18
6427744,4,9.0,0.0,2.1274623060252463e-05,4
