event_type,count,share
IssueCommentEvent,1816696,0.4847162108006546
PushEvent,1165990,0.3111000710253423
PullRequestEvent,335530,0.0895234151503298
IssuesEvent,168876,0.0450581356568029
ReleaseEvent,96690,0.0257980478970148
PullRequestReviewEvent,72597,0.0193697474731573
PullRequestReviewCommentEvent,52761,0.0140772655403288
CommitCommentEvent,38818,0.010357106456369
