metric,rank,value,cdf,ccdf
directed_cross_project_edge_weight,1,1,0.00010422094841063054,1.0
directed_cross_project_edge_weight,2,1,0.00020844189682126107,0.9998957790515893
directed_cross_project_edge_weight,3,1,0.0003126628452318916,0.9997915581031788
directed_cross_project_edge_weight,4,1,0.00041688379364252214,0.9996873371547681
directed_cross_project_edge_weight,5,1,0.0005211047420531526,0.9995831162063574
directed_cross_project_edge_weight,6,1,0.0006253256904637832,0.9994788952579469
directed_cross_project_edge_weight,7,1,0.0007295466388744137,0.9993746743095362
directed_cross_project_edge_weight,8,1,0.0008337675872850443,0.9992704533611256
directed_cross_project_edge_weight,9,1,0.0009379885356956748,0.999166232412715
directed_cross_project_edge_weight,10,1,0.0010422094841063053,0.9990620114643043
directed_cross_project_edge_weight,11,1,0.0011464304325169358,0.9989577905158937
directed_cross_project_edge_weight,12,1,0.0012506513809275664,0.9988535695674831
directed_cross_project_edge_weight,13,1,0.001354872329338197,0.9987493486190724
directed_cross_project_edge_weight,14,1,0.0014590932777488275,0.9986451276706618
directed_cross_project_edge_weight,15,1,0.001563314226159458,0.9985409067222512
directed_cross_project_edge_weight,16,1,0.0016675351745700886,0.9984366857738406
directed_cross_project_edge_weight,17,1,0.0017717561229807191,0.9983324648254299
directed_cross_project_edge_weight,18,1,0.0018759770713913497,0.9982282438770193
directed_cross_project_edge_weight,19,1,0.0019801980198019802,0.9981240229286087
directed_cross_project_edge_weight,20,1,0.0020844189682126106,0.998019801980198
directed_cross_project_edge_weight,21,1,0.0021886399166232413,0.9979155810317873
directed_cross_project_edge_weight,22,1,0.0022928608650338717,0.9978113600833768
directed_cross_project_edge_weight,23,1,0.0023970818134445024,0.9977071391349661
directed_cross_project_edge_weight,24,1,0.0025013027618551328,0.9976029181865554
directed_cross_project_edge_weight,25,1,0.0026055237102657635,0.9974986972381449
directed_cross_project_edge_weight,26,1,0.002709744658676394,0.9973944762897342
directed_cross_project_edge_weight,27,1,0.0028139656070870246,0.9972902553413237
directed_cross_project_edge_weight,28,1,0.002918186555497655,0.997186034392913
directed_cross_project_edge_weight,29,1,0.0030224075039082857,0.9970818134445023
directed_cross_project_edge_weight,30,1,0.003126628452318916,0.9969775924960917
directed_cross_project_edge_weight,31,1,0.003230849400729547,0.9968733715476811
