target_project_id,in_degree,in_strength,target_coverage,target_role,target_category_label,target_category_source,cumulative_weight_share
438203376,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9276267503273994
456672881,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9276843150517364
461875582,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9277418797760733
477925242,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9277994445004102
49324039,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9278570092247472
494471755,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.927914573949084
506915807,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9279721386734208
5317395,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9280297033977578
551397882,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9280872681220949
5694513,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9281448328464316
569763856,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9282023975707686
599998684,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9282599622951055
60805080,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9283175270194424
61105758,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9283750917437794
660205230,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9284326564681163
675602052,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9284902211924532
676208116,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9285477859167902
68077781,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9286053506411271
686974403,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.928662915365464
7053637,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.928720480089801
80501529,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.928778044814138
8393979,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9288356095384748
8413786,1,8,0.0034013605442176,expanded_target_project,not_in_dbms_metadata,unavailable,0.9288931742628116
100060912,7,7,0.0238095238095238,expanded_target_project,not_in_dbms_metadata,unavailable,0.9289435433966066
105944401,7,7,0.0238095238095238,seed_project,"Relational,Key-value",seed_manifest,0.9289939125304014
159294525,7,7,0.0238095238095238,expanded_target_project,not_in_dbms_metadata,unavailable,0.9290442816641962
1903522,7,7,0.0238095238095238,expanded_target_project,not_in_dbms_metadata,unavailable,0.929094650797991
24420506,7,7,0.0238095238095238,expanded_target_project,not_in_dbms_metadata,unavailable,0.9291450199317858
49086513,7,7,0.0238095238095238,expanded_target_project,not_in_dbms_metadata,unavailable,0.9291953890655806
81227005,7,7,0.0238095238095238,expanded_target_project,not_in_dbms_metadata,unavailable,0.9292457581993754
146327667,6,7,0.0204081632653061,expanded_target_project,not_in_dbms_metadata,unavailable,0.9292961273331702
206402,4,7,0.0136054421768707,expanded_target_project,not_in_dbms_metadata,unavailable,0.929346496466965
286108332,4,7,0.0136054421768707,expanded_target_project,not_in_dbms_metadata,unavailable,0.9293968656007598
4407129,4,7,0.0136054421768707,seed_project,Spatial,seed_manifest,0.9294472347345548
50904245,4,7,0.0136054421768707,expanded_target_project,not_in_dbms_metadata,unavailable,0.9294976038683496
71823870,4,7,0.0136054421768707,expanded_target_project,not_in_dbms_metadata,unavailable,0.9295479730021444
230310173,3,7,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.9295983421359392
301573344,3,7,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.929648711269734
305438763,3,7,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.9296990804035288
31830551,3,7,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.9297494495373236
4164482,3,7,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.9297998186711184
9524057,3,7,0.010204081632653,expanded_target_project,not_in_dbms_metadata,unavailable,0.9298501878049132
111860063,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.929900556938708
11309795,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9299509260725028
135060366,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9300012952062976
1451352,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9300516643400925
147511063,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9301020334738872
15345331,2,7,0.0068027210884353,expanded_target_project,Key-value,dbms_metadata,0.930152402607682
155119796,2,7,0.0068027210884353,expanded_target_project,not_in_dbms_metadata,unavailable,0.9302027717414768
