seed_left,seed_right,ari
20260731,20260732,0.8832836127125132
20260731,20260733,0.8887358073604216
20260731,20260734,0.8984541683825152
20260731,20260735,0.8080075613890355
20260731,20260736,0.8926615852013585
20260731,20260737,0.6823671359861659
20260731,20260738,0.9008953591122724
20260731,20260739,0.800494488250299
20260731,20260740,0.8045618446381843
20260731,20260741,0.8307593370202617
20260731,20260742,0.770130213178011
20260731,20260743,0.7542329092245899
20260731,20260744,0.8659116297586945
20260731,20260745,0.8138707835917937
20260731,20260746,0.8678116252016245
20260731,20260747,0.8261865213800965
20260731,20260748,0.7092629679550105
20260731,20260749,0.8820396415586188
20260731,20260750,0.9150629896628857
20260731,20260751,0.8558165379266908
20260731,20260752,0.7635584779637602
20260731,20260753,0.9116290435339905
20260731,20260754,0.8796067904747623
20260731,20260755,0.9035563252887356
20260731,20260756,0.7602515143061622
20260731,20260757,0.8490419108350287
20260731,20260758,0.963964634414267
20260731,20260759,0.8586877093394994
20260731,20260760,0.7241691183676049
20260731,20260761,0.8397981736886129
20260731,20260762,0.6865232103757394
20260731,20260763,0.7647198652081374
20260731,20260764,0.8458060742620668
20260731,20260765,0.9641041092448298
20260731,20260766,0.8359163281616686
20260731,20260767,0.8477942117800505
20260731,20260768,0.7035712380378899
20260731,20260769,0.8178792656413746
20260731,20260770,0.8679626349101955
20260731,20260771,0.8652897195417798
20260731,20260772,0.8280435176537602
20260731,20260773,0.8381534349262741
20260731,20260774,0.8475646197275893
20260731,20260775,0.8177841178802593
20260731,20260776,0.7059367886677359
20260731,20260777,0.9106531877825994
20260731,20260778,0.7747483450322855
20260731,20260779,0.897896371602704
20260731,20260780,0.8217191770020924
20260732,20260733,0.9582947883762208
20260732,20260734,0.9399858580107917
20260732,20260735,0.8662243604070827
20260732,20260736,0.9267204294162135
20260732,20260737,0.7427354105761256
20260732,20260738,0.9031410101002761
20260732,20260739,0.8089637427918405
20260732,20260740,0.8575259263729661
20260732,20260741,0.8945058149204239
20260732,20260742,0.8685416201598396
20260732,20260743,0.7655924153095789
20260732,20260744,0.9414364128515669
20260732,20260745,0.885818494791584
20260732,20260746,0.9533982373886151
20260732,20260747,0.8383888893213465
20260732,20260748,0.7788541530508012
20260732,20260749,0.9063369687934656
20260732,20260750,0.9244361149019744
20260732,20260751,0.9099477274366432
20260732,20260752,0.8173905238649679
20260732,20260753,0.9359634478199413
20260732,20260754,0.9224580471691423
20260732,20260755,0.9127090913391421
20260732,20260756,0.8398422825811057
20260732,20260757,0.9152299310156463
20260732,20260758,0.9058280975070476
20260732,20260759,0.9640752245500784
20260732,20260760,0.8177413884791369
20260732,20260761,0.8760303768731406
20260732,20260762,0.7370246954037627
20260732,20260763,0.8185245856622081
20260732,20260764,0.8416533063699844
20260732,20260765,0.8914966063998866
20260732,20260766,0.9056628509658132
20260732,20260767,0.9132887401050124
20260732,20260768,0.7644147610594292
20260732,20260769,0.879416742823462
20260732,20260770,0.9687982060894539
20260732,20260771,0.9633641372092239
20260732,20260772,0.926710715284364
20260732,20260773,0.8723299367760292
20260732,20260774,0.9083440155252294
20260732,20260775,0.8946347113275281
20260732,20260776,0.7778504563982697
20260732,20260777,0.9338627970124219
20260732,20260778,0.7618051535326751
20260732,20260779,0.9140496515561556
20260732,20260780,0.8880278366691784
20260733,20260734,0.9714610668185992
20260733,20260735,0.8954139633342235
20260733,20260736,0.9616523346840508
20260733,20260737,0.7222372796772837
20260733,20260738,0.9368581740239862
20260733,20260739,0.814213709406162
20260733,20260740,0.8844637507188233
20260733,20260741,0.9311594731992588
20260733,20260742,0.8433341780346211
20260733,20260743,0.7658723114863023
20260733,20260744,0.9214012509558465
20260733,20260745,0.9047675700229046
20260733,20260746,0.9292775407773566
20260733,20260747,0.8339926129261556
20260733,20260748,0.803170166312505
20260733,20260749,0.9425868497668134
20260733,20260750,0.9486990771657939
20260733,20260751,0.936973920145083
20260733,20260752,0.8528140300199774
20260733,20260753,0.9618409195424926
20260733,20260754,0.9537440518822812
20260733,20260755,0.9458097818656626
20260733,20260756,0.8199126331720035
20260733,20260757,0.9461029841581183
20260733,20260758,0.9108374309735746
20260733,20260759,0.937542791863069
20260733,20260760,0.7997760518438165
20260733,20260761,0.9151173904460518
20260733,20260762,0.7677152259411275
20260733,20260763,0.849786572850845
20260733,20260764,0.8454796618921478
20260733,20260765,0.900869688848138
20260733,20260766,0.8746886085392742
20260733,20260767,0.9439781061202208
20260733,20260768,0.7885002872916821
20260733,20260769,0.8605292500303936
20260733,20260770,0.9386301376808056
20260733,20260771,0.9377019385175894
20260733,20260772,0.8973332211155784
20260733,20260773,0.9152170713619813
20260733,20260774,0.9355356827057271
20260733,20260775,0.8758976667677895
20260733,20260776,0.7646320862848026
20260733,20260777,0.9623928460434651
20260733,20260778,0.7668604641662464
20260733,20260779,0.9416649604994447
20260733,20260780,0.9219273142297224
