seed,community_count,modularity,ari_to_canonical,is_canonical_seed
20260731,35,0.7969220043681785,1.0,True
20260732,35,0.7974118318316177,0.8832836127125132,False
20260733,35,0.7971612640944822,0.8887358073604216,False
20260734,35,0.7971581481949723,0.8984541683825152,False
20260735,33,0.7970597359914929,0.8080075613890355,False
20260736,35,0.7970755431860971,0.8926615852013585,False
20260737,34,0.7932613633218951,0.6823671359861659,False
20260738,35,0.7970621481685227,0.9008953591122724,False
20260739,34,0.7966472591172672,0.800494488250299,False
20260740,33,0.7970197834627736,0.8045618446381843,False
20260741,35,0.7971186236557479,0.8307593370202617,False
20260742,33,0.7969568453134102,0.770130213178011,False
20260743,34,0.7966194069975875,0.7542329092245899,False
20260744,32,0.7973136318322435,0.8659116297586945,False
20260745,36,0.7969969601158569,0.8138707835917937,False
20260746,34,0.7973050007799609,0.8678116252016245,False
20260747,32,0.7965462186659031,0.8261865213800965,False
20260748,33,0.7965786838178828,0.7092629679550105,False
20260749,37,0.7972020759758662,0.8820396415586188,False
20260750,34,0.7970131713468698,0.9150629896628857,False
20260751,33,0.7970636314952004,0.8558165379266908,False
20260752,34,0.7965572374490532,0.7635584779637602,False
20260753,34,0.7971649383370671,0.9116290435339905,False
20260754,34,0.7971345001144785,0.8796067904747623,False
20260755,35,0.7971708170162068,0.9035563252887356,False
20260756,34,0.7968206757012354,0.7602515143061622,False
20260757,32,0.7971667476385231,0.8490419108350287,False
20260758,36,0.7970567286983401,0.963964634414267,False
20260759,33,0.7973221255500358,0.8586877093394994,False
20260760,34,0.7968460950644729,0.7241691183676049,False
20260761,37,0.7971551307029427,0.8397981736886129,False
20260762,33,0.796619607705249,0.6865232103757394,False
20260763,34,0.7965743547710934,0.7647198652081374,False
20260764,35,0.7966763163912134,0.8458060742620668,False
20260765,36,0.7969115402430128,0.9641041092448298,False
20260766,35,0.7973144576557767,0.8359163281616686,False
20260767,36,0.7972312776949695,0.8477942117800505,False
20260768,34,0.7965514243489492,0.7035712380378899,False
20260769,34,0.7968608792313129,0.8178792656413746,False
20260770,37,0.7974330953473071,0.8679626349101955,False
20260771,35,0.797315322328466,0.8652897195417798,False
20260772,35,0.7973822461624425,0.8280435176537602,False
20260773,36,0.7971606440391217,0.8381534349262741,False
20260774,34,0.7969740349358829,0.8475646197275893,False
20260775,33,0.7972689925175163,0.8177841178802593,False
20260776,34,0.7968491404282413,0.7059367886677359,False
20260777,34,0.7971416453228034,0.9106531877825994,False
20260778,35,0.7965069495138132,0.7747483450322855,False
20260779,34,0.7971519176935198,0.897896371602704,False
20260780,37,0.7971255757861054,0.8217191770020924,False
