node_u,node_v,weight,directed_edge_count
126238614,220186120,10,1
126238614,422821402,10,1
126250425,510607652,3,1
126412363,208728772,2,1
126412363,388946490,6,1
126412363,60246359,2,1
12682522,9342529,3,1
12711522,6838921,9,1
12712630,339993112,2,1
127420809,268163609,9,1
127420809,357707809,20,1
128096570,44781140,12,1
1287669,388946490,2,1
128778692,30449481,21,1
128842710,388946490,189,1
128887107,422821402,3,1
129563456,480217156,2,1
129648001,6838921,2,1
129717717,385634291,28,1
129883659,396867188,10,1
129883659,7437073,24,1
129954828,17165658,25,1
130040931,334274271,11,1
130140573,30449481,5,1
130237506,148087762,3,1
1303538,156018,2,1
13057937,60246359,4,1
130688011,177210627,18,1
130688011,184286875,25,1
130688011,189476904,175,1
130688011,190416463,2,1
130688011,192624594,9,1
130688011,193500153,2,1
130688011,197814629,8,1
130688011,203697873,173,1
130688011,212857695,20,1
130688011,215108366,205,1
130688011,222735791,18,1
130688011,22531552,121,1
130688011,241092383,354,1
130688011,254149837,8,1
130688011,268274269,96,1
130688011,26850443,9,1
130688011,276347473,2,1
130688011,277836190,2,1
130688011,281634568,4,1
130688011,287743349,139,1
130688011,288485773,211,1
130688011,288487894,305,1
130688011,295544240,16,1
130688011,298565987,864,1
130688011,301727732,34,1
130688011,303803422,3,1
130688011,30667298,2,1
130688011,306769011,751,1
130688011,307760976,76,1
130688011,34406933,17,1
130688011,345619662,20,1
130688011,357707809,6,1
130688011,357936578,20,1
130688011,359812205,182,1
130688011,367261349,3,1
130688011,400147654,2,1
130688011,41473746,20,1
130688011,419088860,2,1
130688011,513542067,2,1
130688011,52300938,2,1
130688011,528342545,36,1
130688011,54503347,18,1
130688011,551440734,4,1
130688011,560292269,2,1
130688011,560657499,7,1
130688011,589268852,6,1
130688011,603442118,4,1
130688011,625293217,2,1
130688011,67836789,31,1
130688011,716661693,3,1
130688011,724712,5,1
130688011,72954239,2,1
130688011,84517704,72,1
130688011,92969352,6,1
130688011,97977100,2,1
130727736,138754790,6,1
13078968,158975124,16,1
13078968,302827809,4,1
13078968,542714,4,1
13078968,6358188,2,1
13078968,7437073,10,1
13092745,75425073,4,1
13124802,137362393,7,1
13124802,150225803,3,1
13124802,150954997,2,1
13124802,161681291,2,1
13124802,183095067,2,1
13124802,223485832,29,1
13124802,25777459,3,1
13124802,27576132,4,1
13124802,279622976,7,1
13124802,28366058,3,1
13124802,295544240,3,1
13124802,33258973,2,1
13124802,356362815,2,1
13124802,358917318,5,1
13124802,36960321,13,1
13124802,6838921,16,1
13124802,94262864,8,1
131347954,388946490,150,1
131389850,496817075,7,1
131403312,166515022,6,1
132145189,150954997,21,1
132145189,396856161,27,1
132145189,41986369,13,1
132145189,422821402,30,1
132145189,6838921,2,1
132518310,385634291,2,1
